#line	motif	seq	start	end	strand	seqLen	querybp	mRatio	m	mm	i	d
477	telomere	e3f8a60e-c79f-4e66-a038-5dd4153bc22d	4186	4272	+	7351	94	88.4%	84	1	1	9
481	telomere	e3f8a60e-c79f-4e66-a038-5dd4153bc22d	4501	7311	+	7351	2998	89.7%	2719	59	32	220
485	telomere	11255add-f3f0-42a0-8173-17fecf700ae2	21033	21087	+	21127	54	100.0%	54	0	0	0
489	telomere	b1715d8d-5125-4e2b-83ae-aab30a011e31	0	898	-	23705	906	98.2%	894	0	4	12
493	telomere	4fbbf769-e31e-4489-8864-aa101cb1b789	29576	29731	+	29747	161	93.8%	151	4	0	6
497	telomere	0837f3d1-d837-4576-b90e-827d38e147bf	85	270	-	19531	198	90.0%	181	1	3	16
501	telomere	0837f3d1-d837-4576-b90e-827d38e147bf	329	1303	-	19531	987	96.5%	962	2	10	23
505	telomere	a3b40250-30c5-4cff-adee-bc81dab69bb9	9697	9788	+	9788	91	100.0%	91	0	0	0
509	telomere	f601d4e1-c2d0-4e8d-81c2-e36f4a1dacda	13627	13984	+	13984	361	96.7%	352	2	3	7
513	telomere	2355a08e-58af-4561-8f4f-e50549d43606	44	544	-	28324	494	94.7%	482	3	15	9
517	telomere	99f5d54d-219f-49ee-8bf1-dc041b9c3d5c	1	629	-	6391	629	96.4%	616	2	10	11
521	telomere	2aa70e1c-0da0-4d98-9b41-373d42866377	0	1594	-	5418	1666	92.4%	1555	23	16	88
525	telomere	2aa70e1c-0da0-4d98-9b41-373d42866377	1728	5418	-	5418	3851	93.9%	3629	46	15	176
529	telomere	8716fbb9-d7a1-4790-b45a-0bc9c635a4a3	2	725	-	5269	722	96.2%	706	5	12	11
533	telomere	c27387c0-2149-4a72-8e31-32877d0ee499	23695	23766	+	23784	71	98.6%	70	1	0	0
537	telomere	f70072ff-d471-42a1-871b-fda277f2d15d	19368	19583	+	19659	219	95.5%	210	4	1	5
541	telomere	ed3ee16c-3999-4e8f-910d-f6948be1bc46	12072	12128	+	12128	58	94.8%	55	1	0	2
545	telomere	231eb9c2-1ec6-46cd-8125-23c2d73e0d8f	12046	12210	+	12210	164	99.4%	163	1	0	0
549	telomere	eb519a34-60ab-48a5-99f1-2afff1b78bc0	11950	12135	+	12137	191	93.3%	180	3	2	8
553	telomere	98ed5a3e-e676-435c-8e01-480decad9ddf	0	744	-	18048	736	98.5%	734	1	9	1
557	telomere	a3acf4bc-9fa3-47be-a11f-6ba414c6cc90	10950	11117	+	11117	173	92.0%	161	4	2	8
561	telomere	e02bcf54-6c8b-4092-818a-8dfaddb3260f	20795	21139	+	21139	359	90.9%	328	14	2	17
565	telomere	a2b8020c-6d41-4089-89b4-5cf2b2039546	0	1545	-	14164	1551	99.0%	1539	2	4	10
569	telomere	59d3e17d-9bce-4d1f-b176-8aa6250d74b7	0	1216	-	19939	1221	98.5%	1209	1	6	11
573	telomere	aab10616-81de-4de6-a6ae-6da275cce191	32218	32601	+	32601	401	92.5%	372	10	1	19
577	telomere	8a26da4a-ed43-4a69-8414-7f530eb24184	0	807	-	20479	807	97.5%	796	2	9	9
581	telomere	47636407-b80e-4d95-9411-59b3f12b24b1	0	13036	-	13036	13307	96.6%	12909	65	62	333
585	telomere	0b2d77b5-f493-4998-80b1-e856cb20ac20	13218	13289	+	13297	71	100.0%	71	0	0	0
589	telomere	e5347849-a3e0-490b-ba7d-d17158dbc51d	1	1443	-	25739	1441	98.2%	1428	1	13	12
593	telomere	79eec47d-132a-4ca1-a044-bc051f127751	5	65	-	9569	62	96.8%	60	0	0	2
597	telomere	79eec47d-132a-4ca1-a044-bc051f127751	81	124	-	9569	44	93.2%	41	2	0	1
601	telomere	79eec47d-132a-4ca1-a044-bc051f127751	240	9551	-	9569	9574	95.9%	9220	50	41	304
605	telomere	783670d1-0c6d-4028-a1eb-66ed380ff8bc	29094	29165	+	29175	71	98.6%	70	1	0	0
609	telomere	aaeae8fb-f2bc-43e8-838f-0b687690ecd4	185	1247	-	13885	1074	96.1%	1046	1	15	27
613	telomere	aaeae8fb-f2bc-43e8-838f-0b687690ecd4	0	48	+	13885	48	100.0%	48	0	0	0
617	telomere	aaeae8fb-f2bc-43e8-838f-0b687690ecd4	58	97	+	13885	42	92.9%	39	0	0	3
621	telomere	b39f0787-5c34-45ff-8395-c7690dcd8ada	0	583	-	20477	578	96.8%	569	4	10	5
625	telomere	d264e9b0-21b7-495e-9c1e-bc93291b4f99	8	773	-	3456	799	92.4%	743	17	5	39
629	telomere	15104aad-03bc-4676-a238-59eeed9ff343	6	1472	-	15246	1496	97.1%	1458	2	6	36
633	telomere	13099f71-6bb7-4111-8e32-173018279a1d	6	603	-	25288	589	96.5%	581	3	13	5
637	telomere	1f305ca9-640f-48c0-8a45-740a8599b1d4	8	796	-	14867	780	96.5%	770	0	18	10
641	telomere	e21493c9-5f30-4925-b051-0b2f337a0232	14	773	-	23669	757	97.1%	746	2	11	9
645	telomere	b5f514c9-5b61-4cfa-a8eb-7b30f790bb92	10423	10463	+	20461	42	92.9%	39	1	0	2
649	telomere	b5f514c9-5b61-4cfa-a8eb-7b30f790bb92	10467	10524	+	20461	58	93.2%	55	1	1	2
653	telomere	b5f514c9-5b61-4cfa-a8eb-7b30f790bb92	10530	10794	+	20461	281	93.2%	262	2	0	17
657	telomere	b5f514c9-5b61-4cfa-a8eb-7b30f790bb92	10866	11825	+	20461	1030	90.5%	939	13	7	78
661	telomere	b5f514c9-5b61-4cfa-a8eb-7b30f790bb92	11945	12200	+	20461	269	93.3%	252	2	1	15
665	telomere	b5f514c9-5b61-4cfa-a8eb-7b30f790bb92	12285	14571	+	20461	2448	90.7%	2231	43	12	174
669	telomere	b5f514c9-5b61-4cfa-a8eb-7b30f790bb92	14674	15361	+	20461	732	89.7%	662	19	6	51
673	telomere	b5f514c9-5b61-4cfa-a8eb-7b30f790bb92	15457	19447	+	20461	4254	90.4%	3874	86	30	294
677	telomere	b5f514c9-5b61-4cfa-a8eb-7b30f790bb92	19533	19712	+	20461	201	87.6%	176	3	0	22
681	telomere	b5f514c9-5b61-4cfa-a8eb-7b30f790bb92	19793	20461	+	20461	723	87.7%	643	15	10	65
685	telomere	b5f514c9-5b61-4cfa-a8eb-7b30f790bb92	10012	10072	+	20461	60	100.0%	60	0	0	0
689	telomere	f0309ba6-f142-4de5-87d2-b562be3d4fb6	0	953	-	8127	960	98.7%	950	0	3	10
693	telomere	400e5d9f-a671-49b8-aa8a-d26405d37c4f	0	9892	-	20284	9923	98.6%	9831	9	52	83
697	telomere	400e5d9f-a671-49b8-aa8a-d26405d37c4f	10242	10290	-	20284	48	100.0%	48	0	0	0
701	telomere	da798815-952b-4a79-afee-34a05c7705ca	3	2969	-	9610	2997	96.3%	2919	12	35	66
705	telomere	cd687f53-bd49-4c8d-80d8-13f067b65125	22031	22115	+	22117	84	100.0%	84	0	0	0
709	telomere	95e96042-8735-4bde-843a-6806eca54e7d	8	1000	-	13920	992	98.9%	986	1	5	5
713	telomere	0ff5a9a1-d507-4723-8cb3-fa03da7920f9	4	1408	-	12030	1476	92.5%	1378	13	13	85
717	telomere	9401008f-f6ff-4394-baf2-b6948129b6e2	0	1235	-	17978	1242	97.2%	1220	2	13	20
721	telomere	e232e055-bf2b-406c-ad45-0187a8b07a18	23102	23162	+	23184	60	100.0%	60	0	0	0
725	telomere	29ecf76f-7c16-4664-b01a-a6ce8263276c	0	1375	-	14261	1402	97.9%	1374	0	1	28
729	telomere	ef88efd1-1e67-4087-bd2b-e5e4f274e772	0	1036	-	15129	1041	98.1%	1027	3	6	11
733	telomere	66e75eba-52f2-41d0-818e-3ef4e2635487	0	1098	-	8009	1122	97.7%	1096	2	0	24
737	telomere	feddf843-0bb8-4372-8237-b9098b6af073	44	844	-	5803	805	97.2%	790	2	8	13
741	telomere	fc64a3fe-28f3-41bb-b1db-cecbe5c66de6	0	1537	-	8183	1658	89.2%	1493	28	16	137
745	telomere	fc64a3fe-28f3-41bb-b1db-cecbe5c66de6	1938	7929	-	8183	6245	91.9%	5828	69	94	348
749	telomere	fc64a3fe-28f3-41bb-b1db-cecbe5c66de6	8022	8183	-	8183	164	94.6%	157	2	2	5
753	telomere	d8f5fdc0-91fc-4e12-a607-68f0aab2de4f	179	13699	-	27997	13736	96.3%	13330	89	101	317
757	telomere	d8f5fdc0-91fc-4e12-a607-68f0aab2de4f	0	65	-	27997	64	93.8%	61	3	1	0
761	telomere	b16673f9-19f3-473e-aaec-568535d5ca57	13	900	-	27554	879	98.5%	876	1	10	2
765	telomere	7f2e3c0d-2a61-4be1-b017-135dcf0200a3	0	860	-	16659	885	95.2%	848	6	6	31
769	telomere	231eab07-bde6-47ef-87fb-e5035eb1fd65	17825	18427	+	18427	634	90.9%	581	16	5	37
773	telomere	ce7067ec-bdc1-4167-adee-bb31ac529a05	3	1501	-	24161	1505	99.0%	1494	0	4	11
777	telomere	9c7c724c-e39a-4186-a3d0-749bdcb98749	33237	33319	+	33385	83	98.8%	82	0	0	1
781	telomere	b6bc4f72-2861-4312-a643-0c86f2055339	0	852	-	22397	846	98.1%	840	2	10	4
785	telomere	398a8300-c355-41a7-8cd7-161d85feb33b	12636	12701	+	12747	65	100.0%	65	0	0	0
789	telomere	f822f2e2-1cb2-47f2-8b63-b03188e530c9	0	1293	-	26579	1290	98.6%	1282	1	10	7
793	telomere	4e3c1709-d2ea-4c56-be43-1dba65601c4a	19382	19476	+	19476	94	100.0%	94	0	0	0
797	telomere	a90d697c-f15b-4310-9a0a-edc7803f4320	0	1284	-	15031	1284	99.1%	1278	1	5	5
801	telomere	e546d855-a4fe-40f8-ac95-3cae741a8eb5	10	1174	-	23722	1153	99.1%	1153	0	11	0
805	telomere	9d7f026e-bd79-4045-9468-e88cca339f97	143	1081	-	12994	992	91.6%	915	16	7	61
809	telomere	9d7f026e-bd79-4045-9468-e88cca339f97	1202	1891	-	12994	734	91.4%	673	14	2	47
813	telomere	9d7f026e-bd79-4045-9468-e88cca339f97	1979	3265	-	12994	1366	90.8%	1251	23	12	92
817	telomere	9d7f026e-bd79-4045-9468-e88cca339f97	3392	9478	-	12994	6358	93.3%	5975	67	44	316
821	telomere	9d7f026e-bd79-4045-9468-e88cca339f97	9571	12989	-	12994	3583	92.4%	3340	47	31	196
825	telomere	2b5596e2-7e6b-4abe-a787-dcfd35a1e204	7777	7867	+	7871	90	95.6%	86	4	0	0
829	telomere	64f4f8d6-4919-4ac4-a25b-a81de85e1a60	10281	10329	+	10329	48	100.0%	48	0	0	0
833	telomere	d1c2a07d-15d9-4ff7-8632-b0a2ecdcd315	16050	16453	+	24833	428	89.4%	388	9	6	31
837	telomere	d1c2a07d-15d9-4ff7-8632-b0a2ecdcd315	16570	22725	+	24833	6653	89.2%	5983	117	55	553
841	telomere	d1c2a07d-15d9-4ff7-8632-b0a2ecdcd315	22834	24833	+	24833	2170	88.3%	1929	55	15	186
845	telomere	a55c515c-6a84-44d1-a012-0fb1281c4b5e	2	1447	-	17443	1454	99.0%	1442	1	2	11
849	telomere	439382d3-9946-4279-adc0-2ae80abb4364	0	443	-	20915	437	98.6%	437	0	6	0
853	telomere	cf61dbb6-f326-4fb3-a00e-baa3dda4df85	2	10890	-	19976	10943	98.2%	10809	16	63	118
857	telomere	c8cae972-9141-407b-9efa-9e877a35bfc3	23031	23172	+	23182	143	95.8%	138	2	1	3
861	telomere	217511ba-b7f5-431d-a556-0651bde52782	0	834	-	15473	857	92.7%	808	11	15	38
865	telomere	2f77140d-ecca-431a-8cde-8571a58d00c2	0	1258	-	13929	1249	93.0%	1199	19	40	31
869	telomere	9e24997b-97cd-4fda-bd9b-82a7e4237d47	15066	15177	+	15177	114	94.7%	108	3	0	3
873	telomere	d9d02b84-ae7b-4559-95d0-7e66201ae7d1	20791	20901	+	20907	113	97.3%	110	0	0	3
877	telomere	2774e564-17c7-4fbb-9f82-73be2445d41a	0	950	-	24101	954	98.7%	945	2	3	7
881	telomere	01bfb0d2-4949-4af5-967f-01f6b73fb18c	4	7377	-	7908	7631	91.8%	7134	98	141	399
885	telomere	01bfb0d2-4949-4af5-967f-01f6b73fb18c	7411	7461	-	7908	49	94.1%	48	0	2	1
889	telomere	01bfb0d2-4949-4af5-967f-01f6b73fb18c	7498	7570	-	7908	74	92.1%	70	0	2	4
893	telomere	01bfb0d2-4949-4af5-967f-01f6b73fb18c	7673	7839	-	7908	175	87.7%	157	5	4	13
897	telomere	8fa6a410-508f-4900-a018-e6bd6fc667c8	18255	18339	+	18360	84	96.5%	82	1	1	1
901	telomere	6448e53f-1e45-4ca0-a5c7-ed91dbb31d2f	0	699	-	23074	699	98.4%	693	1	5	5
905	telomere	7ccba5f2-83aa-4ec8-8c92-776e073ed9f5	6	729	-	11969	725	93.4%	696	7	20	22
909	telomere	6501d2a9-4939-4746-9af6-d29033090335	0	347	-	23456	341	97.7%	339	2	6	0
913	telomere	a6cd0d24-414a-43f2-b8f6-2cb113e4d3d4	0	796	-	19678	786	98.5%	785	0	11	1
917	telomere	f286e78b-9db6-4c1b-8086-f50bb1c507d9	0	691	-	11136	684	98.7%	682	2	7	0
921	telomere	30184b96-fdd9-4f52-a348-d9b90aec8633	0	869	-	12991	859	95.8%	843	5	21	11
925	telomere	e3cf69ec-a69f-4f98-9efe-1238d1e5aa21	1573	6083	+	9429	4722	92.9%	4419	54	37	249
929	telomere	e3cf69ec-a69f-4f98-9efe-1238d1e5aa21	6190	6442	+	9429	256	96.9%	250	0	2	6
933	telomere	e3cf69ec-a69f-4f98-9efe-1238d1e5aa21	6572	9429	+	9429	2980	93.4%	2804	32	21	144
