AAA_14	PF13173.9	AAA domain	Cele_C11G6.2.1  	2.5e-06	4	103	24	140
AAA_19	PF13245.9	AAA domain	Otipu_g20001.t1  	7.3e-06	12	144	1730	1867
AAA_19	PF13245.9	AAA domain	Otipu_g20004.t1  	7.5e-06	12	144	1887	2024
AAA_19	PF13245.9	AAA domain	Odoli_3169_t  	8.5e-06	10	58	359	403
AAA_22	PF13401.9	AAA domain	Cele_Y18H1A.6a.1  	4.2e-08	4	129	260	383
AAA_22	PF13401.9	AAA domain	C_brig_XP_002638798.1  	6.4e-08	7	129	266	386
AAA_22	PF13401.9	AAA domain	C_bren_EGT36565.1  	1.6e-07	9	129	273	391
AAA_22	PF13401.9	AAA domain	C_nigo_PIC54537.1  	7e-08	7	129	266	386
AAA_22	PF13401.9	AAA domain	D_pachys_PAV69746.1  	2.4e-06	4	117	2000	2117
AAA_22	PF13401.9	AAA domain	C_rema_KAF1769571.1  	5.9e-07	4	129	266	389
AAA_22	PF13401.9	AAA domain	Cele_Y116F11A.1.2  	1.8e-07	4	129	43	165
AAA_22	PF13401.9	AAA domain	OspDF_g20001.t1  	3.3e-06	4	125	553	665
AAA_22	PF13401.9	AAA domain	C_rema_XP_003102134.1  	4e-07	6	117	243	358
AAA_22	PF13401.9	AAA domain	C_bre_EGT48478.1  	1.7e-06	10	117	1326	1443
AAA_22	PF13401.9	AAA domain	Odoli_5431_t  	7.5e-07	4	129	241	364
AAA_22	PF13401.9	AAA domain	Cele_C11G6.2.1  	7.7e-07	5	129	22	143
AAA_30	PF13604.9	AAA domain	D_mela_NP_608782.1  	1e-23	2	178	205	409
AAA_30	PF13604.9	AAA domain	H_cont_CDJ81285.1  	1.4e-23	2	175	216	404
AAA_30	PF13604.9	AAA domain	H_sapi_NP_001273425.1  	3.7e-23	1	180	206	406
AAA_30	PF13604.9	AAA domain	A_JU17_CAH6623411.1  	3.9e-23	1	176	214	412
AAA_30	PF13604.9	AAA domain	X_trop_NP_001016603.1  	6e-23	2	177	208	403
AAA_30	PF13604.9	AAA domain	D_reri_NP_942102.1  	5.5e-23	2	181	207	406
AAA_30	PF13604.9	AAA domain	P_paci_KAF8360407.1  	9.5e-23	2	175	214	410
AAA_30	PF13604.9	AAA domain	C_auri_CAD6195583.1  	2.2e-22	1	179	228	427
AAA_30	PF13604.9	AAA domain	Odoli_5431_t  	2.3e-22	1	180	226	428
AAA_30	PF13604.9	AAA domain	Cele_Y18H1A.6a.1  	2e-21	1	180	245	445
AAA_30	PF13604.9	AAA domain	OspJU_g20000.t1  	2.5e-21	1	175	219	404
AAA_30	PF13604.9	AAA domain	C_bren_EGT36565.1  	5e-21	1	178	253	451
AAA_30	PF13604.9	AAA domain	C_rema_KAF1769571.1  	8e-21	1	181	251	453
AAA_30	PF13604.9	AAA domain	C_nigo_PIC54537.1  	4.6e-20	1	176	248	446
AAA_30	PF13604.9	AAA domain	G_gall_XP_426648.4  	5.8e-20	2	178	169	365
AAA_30	PF13604.9	AAA domain	C_brig_XP_002638798.1  	1.3e-19	1	175	248	444
AAA_30	PF13604.9	AAA domain	C_bovi_CAB3404341.1  	1.8e-19	2	176	517	712
AAA_30	PF13604.9	AAA domain	C_rema_XP_003102134.1  	1.8e-17	16	158	240	427
AAA_30	PF13604.9	AAA domain	Odoli_12885_t  	3.6e-17	2	175	384	590
AAA_30	PF13604.9	AAA domain	Otipu_g20000.t1  	1.7e-14	2	103	229	338
AAA_30	PF13604.9	AAA domain	Cele_Y116F11A.1.2  	3e-16	3	128	25	170
AAA_30	PF13604.9	AAA domain	Odoli_713_t  	5.2e-16	2	175	904	1110
AAA_30	PF13604.9	AAA domain	Odoli_11904_t  	5.2e-16	2	175	922	1128
AAA_30	PF13604.9	AAA domain	Odoli_12657_t  	1.5e-15	14	176	1533	1724
AAA_30	PF13604.9	AAA domain	OspDF_g20001.t1  	1.7e-15	3	128	539	681
AAA_30	PF13604.9	AAA domain	C_bre_EGT48478.1  	2.8e-15	2	172	1300	1527
AAA_30	PF13604.9	AAA domain	Cele_C11G6.2.1  	2.7e-15	3	128	3	148
AAA_30	PF13604.9	AAA domain	D_pachys_PAV69746.1  	1.4e-14	13	182	1996	2212
AAA_30	PF13604.9	AAA domain	OspDF_g20002.t1  	3.5e-14	18	137	1546	1700
AAA_30	PF13604.9	AAA domain	C_rema_XP_003091273.1  	6.4e-14	22	172	1897	2097
AAA_30	PF13604.9	AAA domain	Odoli_3251_t  	1.1e-13	8	174	170	367
AAA_30	PF13604.9	AAA domain	OspJU_g20001.t1  	9e-12	21	175	2701	2938
AAA_30	PF13604.9	AAA domain	OspDF_g440.t1  	8.4e-10	2	77	225	304
AAA_30	PF13604.9	AAA domain	Odoli_12860_t  	9.7e-13	21	136	1739	1883
AAA_30	PF13604.9	AAA domain	Odoli_12912_t  	9.7e-13	21	136	1739	1883
AAA_30	PF13604.9	AAA domain	Odoli_2964_t  	9.7e-13	21	136	1739	1883
AAA_30	PF13604.9	AAA domain	Odoli_12845_t  	1e-12	21	136	1739	1883
AAA_30	PF13604.9	AAA domain	Odoli_2967_t  	1.1e-12	21	136	1739	1883
AAA_30	PF13604.9	AAA domain	Odoli_17328_t  	1.1e-12	21	137	1739	1884
AAA_30	PF13604.9	AAA domain	C_ele_NP_493834.1  	1.1e-12	1	156	921	1106
AAA_30	PF13604.9	AAA domain	C_aur_CAD6200327.1  	1.7e-12	19	182	86	295
AAA_30	PF13604.9	AAA domain	Oonir_g20001.t1  	2.5e-12	18	140	1513	1663
AAA_30	PF13604.9	AAA domain	M_phar_XP_028045493.2  	4e-12	2	175	2049	2269
AAA_30	PF13604.9	AAA domain	Otipu_g20003.t1  	3.7e-12	19	145	1093	1245
AAA_30	PF13604.9	AAA domain	Oonir_g20002.t1  	3.8e-12	18	140	1514	1664
AAA_30	PF13604.9	AAA domain	OspJU_8761_t  	1.6e-11	22	139	2127	2295
AAA_30	PF13604.9	AAA domain	C_nig_PIC43140.1  	2.1e-11	23	178	2674	2930
AAA_30	PF13604.9	AAA domain	C_nigo_A0A2G5UUE0  	2.1e-11	23	178	2674	2930
AAA_30	PF13604.9	AAA domain	Otipu_g20004.t1  	8.1e-12	19	145	1886	2038
AAA_30	PF13604.9	AAA domain	Otipu_g20005.t1  	8.6e-12	19	145	1701	1853
AAA_30	PF13604.9	AAA domain	Otipu_g20001.t1  	8.5e-12	19	145	1729	1881
AAA_30	PF13604.9	AAA domain	Odoli_8859_t  	6.4e-11	18	133	1566	1713
AAA_30	PF13604.9	AAA domain	Odoli_g20001.t1  	7e-11	18	133	1834	1981
AAA_30	PF13604.9	AAA domain	Oonir_g9277.t1  	5.7e-10	2	63	215	273
AAA_30	PF13604.9	AAA domain	Odoli_3169_t  	1.6e-09	14	63	355	404
AAA_30	PF13604.9	AAA domain	C_aur_CAD6200254.1  	7.7e-07	2	64	1440	1516
AAA_30	PF13604.9	AAA domain	Odoli_g20003.t1  	1.2e-08	4	142	1931	2100
AAA_5	PF07728.17	AAA domain (dynein-related subfamily)	Otipu_g20000.t1  	1.8e-07	1	84	246	342
AAA_5	PF07728.17	AAA domain (dynein-related subfamily)	Odoli_5431_t  	9e-07	1	85	244	341
AAA_5	PF07728.17	AAA domain (dynein-related subfamily)	C_brig_XP_002638798.1  	6.9e-07	2	85	267	363
AAA_5	PF07728.17	AAA domain (dynein-related subfamily)	Cele_Y18H1A.6a.1  	1.1e-06	2	85	264	360
AAA_5	PF07728.17	AAA domain (dynein-related subfamily)	C_nigo_PIC54537.1  	2e-06	2	85	267	363
AAA_7	PF12775.10	P-loop containing dynein motor region	C_bovi_CAB3404341.1  	5.7e-07	22	62	521	561
AAA_7	PF12775.10	P-loop containing dynein motor region	Oonir_g9277.t1  	6.3e-07	23	63	220	260
AAA_7	PF12775.10	P-loop containing dynein motor region	Odoli_5431_t  	1.9e-06	21	61	230	270
AAA_7	PF12775.10	P-loop containing dynein motor region	OspJU_g20000.t1  	1.9e-06	16	62	218	264
Arv1	PF04161.16	Arv1-like family	C_auri_CAD6195583.1  	3.7e-29	1	206	657	839
DUF6570	PF20209.1	Domain of unknown function (DUF6570)	Odoli_12860_t  	8.7e-23	1	131	829	960
DUF6570	PF20209.1	Domain of unknown function (DUF6570)	Odoli_12912_t  	8.7e-23	1	131	829	960
DUF6570	PF20209.1	Domain of unknown function (DUF6570)	Odoli_2964_t  	8.7e-23	1	131	829	960
DUF6570	PF20209.1	Domain of unknown function (DUF6570)	Odoli_12845_t  	9.3e-23	1	131	829	960
DUF6570	PF20209.1	Domain of unknown function (DUF6570)	Odoli_2967_t  	9.9e-23	1	131	829	960
DUF6570	PF20209.1	Domain of unknown function (DUF6570)	Odoli_17328_t  	1.1e-22	1	131	829	960
DUF6570	PF20209.1	Domain of unknown function (DUF6570)	Otipu_g20005.t1  	4.9e-22	2	130	807	931
DUF6570	PF20209.1	Domain of unknown function (DUF6570)	Otipu_g20001.t1  	4.9e-22	2	130	802	926
DUF6570	PF20209.1	Domain of unknown function (DUF6570)	Otipu_g20004.t1  	8.1e-22	2	130	792	916
DUF6570	PF20209.1	Domain of unknown function (DUF6570)	C_rema_XP_003091273.1  	3e-21	2	131	937	1062
DUF6570	PF20209.1	Domain of unknown function (DUF6570)	Otipu_g20003.t1  	4e-21	4	130	1	123
DUF6570	PF20209.1	Domain of unknown function (DUF6570)	C_nig_PIC43140.1  	9.5e-20	2	130	1625	1749
DUF6570	PF20209.1	Domain of unknown function (DUF6570)	C_nigo_A0A2G5UUE0  	9.5e-20	2	130	1625	1749
DUF6570	PF20209.1	Domain of unknown function (DUF6570)	D_pachys_PAV69746.1  	5e-19	2	131	970	1098
DUF6570	PF20209.1	Domain of unknown function (DUF6570)	Oonir_g20001.t1  	6.9e-19	2	131	347	474
DUF6570	PF20209.1	Domain of unknown function (DUF6570)	C_bre_EGT48478.1  	8.5e-19	1	131	442	568
DUF6570	PF20209.1	Domain of unknown function (DUF6570)	OspJU_8763_t  	1.5e-18	4	130	1500	1623
DUF6570	PF20209.1	Domain of unknown function (DUF6570)	Oonir_g20002.t1  	1.7e-18	2	131	348	475
DUF6570	PF20209.1	Domain of unknown function (DUF6570)	M_phar_XP_028045493.2  	7.9e-18	4	128	1162	1294
DUF6570	PF20209.1	Domain of unknown function (DUF6570)	Odoli_g20003.t1  	5.5e-18	1	130	886	1011
DUF6570	PF20209.1	Domain of unknown function (DUF6570)	C_aur_CAD6200254.1  	8.1e-17	2	130	559	682
DUF6570	PF20209.1	Domain of unknown function (DUF6570)	OspJU_8761_t  	9.9e-18	2	130	1331	1455
DUF6570	PF20209.1	Domain of unknown function (DUF6570)	Odoli_8859_t  	1.1e-17	1	131	560	686
DUF6570	PF20209.1	Domain of unknown function (DUF6570)	Odoli_g20001.t1  	1.2e-17	1	131	828	954
DUF6570	PF20209.1	Domain of unknown function (DUF6570)	OspJU_g20001.t1  	5.3e-17	2	129	1447	1570
DUF6570	PF20209.1	Domain of unknown function (DUF6570)	OspDF_g20002.t1  	7.7e-12	2	131	793	900
Fam20C	PF06702.15	Golgi casein kinase, C-terminal, Fam20	Odoli_17328_t  	4.4e-86	1	215	2052	2269
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	C_ele_NP_493834.1  	4.5e-64	1	190	322	500
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	OspDF_g20001.t1  	1.2e-39	96	189	188	279
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	Odoli_12657_t  	1.4e-39	7	190	841	1023
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	D_pachys_PAV69746.1  	8.2e-30	1	190	1229	1415
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	C_rema_XP_003091273.1  	4e-28	46	190	1197	1355
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	C_bre_EGT48478.1  	5.8e-24	40	189	694	854
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	M_phar_XP_028045493.2  	8e-24	12	190	1442	1621
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	Odoli_12860_t  	4.7e-23	16	190	1064	1247
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	Odoli_12912_t  	4.7e-23	16	190	1064	1247
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	Odoli_2964_t  	4.7e-23	16	190	1064	1247
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	Odoli_12845_t  	5e-23	16	190	1064	1247
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	Odoli_2967_t  	5.3e-23	16	190	1064	1247
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	Odoli_17328_t  	6e-23	16	190	1064	1247
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	Odoli_g20003.t1  	5.4e-22	75	190	1217	1350
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	C_aur_CAD6200254.1  	5.4e-22	56	190	837	976
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	Odoli_g20001.t1  	6.4e-22	57	190	1113	1259
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	Odoli_8859_t  	5.8e-22	57	190	845	991
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	C_nig_PIC43140.1  	3e-22	41	189	1928	2086
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	C_nigo_A0A2G5UUE0  	3e-22	41	189	1928	2086
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	Otipu_g20003.t1  	1.5e-20	74	190	294	431
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	Otipu_g20004.t1  	3.1e-20	74	190	1087	1224
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	Otipu_g20001.t1  	5.2e-20	75	190	993	1129
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	Oonir_g20002.t1  	2.4e-16	78	190	704	840
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	Oonir_g20001.t1  	2.7e-16	78	190	703	839
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	OspJU_g20001.t1  	1.7e-16	75	190	1756	1916
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	Otipu_g20005.t1  	1.6e-07	75	190	998	1101
Helitron_like_N	PF14214.9	Helitron helicase-like domain at N-terminus	OspDF_g20002.t1  	7.7e-10	70	130	1041	1102
Herpes_Helicase	PF02689.17	Helicase	OspDF_g20001.t1  	9e-08	730	777	890	936
Herpes_Helicase	PF02689.17	Helicase	P_paci_KAF8360407.1  	1.3e-05	732	777	558	601
Herpes_Helicase	PF02689.17	Helicase	H_sapi_NP_001273425.1  	1.1e-06	732	783	550	600
Herpes_Helicase	PF02689.17	Helicase	Odoli_11599_t  	2.7e-07	732	777	103	147
Herpes_Helicase	PF02689.17	Helicase	OspJU_g20000.t1  	3e-05	733	773	552	590
Herpes_Helicase	PF02689.17	Helicase	X_trop_NP_001016603.1  	1.1e-06	733	781	552	599
Herpes_Helicase	PF02689.17	Helicase	Otipu_g7655.t1  	4.8e-07	731	772	463	503
Herpes_Helicase	PF02689.17	Helicase	Odoli_5431_t  	5.2e-05	733	778	571	614
Herpes_Helicase	PF02689.17	Helicase	A_JU17_CAH6623411.1  	4.1e-05	733	785	558	609
Herpes_Helicase	PF02689.17	Helicase	Odoli_12722_t  	1.6e-06	731	777	604	649
Herpes_Helicase	PF02689.17	Helicase	OspDF_g440.t1  	8e-05	733	775	507	547
KAP_NTPase	PF07693.17	KAP family P-loop domain	Cele_Y116F11A.1.2  	1.5e-07	6	48	30	72
Macro	PF01661.24	Macro domain	Odoli_12657_t  	2.3e-09	1	101	2067	2173
Macro	PF01661.24	Macro domain	Odoli_12657_t  	3.7e-26	1	113	2293	2410
Macro	PF01661.24	Macro domain	Odoli_g20003.t1  	1.4e-15	2	115	3042	3164
Macro	PF01661.24	Macro domain	Odoli_g20003.t1  	6.9e-20	1	113	3310	3429
Macro	PF01661.24	Macro domain	Odoli_3168_t  	1.4e-08	1	100	422	527
Macro	PF01661.24	Macro domain	Odoli_3168_t  	9.9e-26	1	111	648	763
Macro	PF01661.24	Macro domain	Odoli_3251_t  	2.1e-26	1	115	1027	1147
Macro	PF01661.24	Macro domain	D_pachys_PAV69746.1  	6.9e-24	2	113	37	156
Macro	PF01661.24	Macro domain	Odoli_713_t  	6.4e-23	1	115	1772	1892
Macro	PF01661.24	Macro domain	Odoli_11904_t  	2e-22	1	115	1790	1910
Macro	PF01661.24	Macro domain	Odoli_8859_t  	9e-16	2	110	2624	2739
Macro	PF01661.24	Macro domain	Odoli_g20001.t1  	9.8e-16	2	110	2892	3007
Mg_chelatase	PF01078.24	Magnesium chelatase, subunit ChlI	Otipu_g20000.t1  	2.8e-07	10	51	232	273
PIF1	PF05970.17	PIF1-like helicase	H_sapi_NP_001273425.1  	4.3e-87	1	362	206	504
PIF1	PF05970.17	PIF1-like helicase	C_ele_NP_493834.1  	6.4e-80	2	361	922	1257
PIF1	PF05970.17	PIF1-like helicase	Odoli_713_t  	2.6e-78	2	361	904	1248
PIF1	PF05970.17	PIF1-like helicase	Odoli_11904_t  	2.7e-78	2	361	922	1266
PIF1	PF05970.17	PIF1-like helicase	X_trop_NP_001016603.1  	3e-75	2	362	208	505
PIF1	PF05970.17	PIF1-like helicase	D_reri_NP_942102.1  	5.4e-75	1	362	206	504
PIF1	PF05970.17	PIF1-like helicase	Odoli_3251_t  	1e-73	4	361	162	506
PIF1	PF05970.17	PIF1-like helicase	G_gall_XP_426648.4  	2e-70	2	362	169	466
PIF1	PF05970.17	PIF1-like helicase	Odoli_12657_t  	1.2e-71	2	361	1515	1863
PIF1	PF05970.17	PIF1-like helicase	D_mela_NP_608782.1  	5.2e-65	2	361	205	509
PIF1	PF05970.17	PIF1-like helicase	OspDF_g20001.t1  	6.8e-34	14	158	546	687
PIF1	PF05970.17	PIF1-like helicase	OspDF_g20001.t1  	3.2e-33	187	362	682	844
PIF1	PF05970.17	PIF1-like helicase	Cele_Y18H1A.6a.1  	9.9e-47	1	221	245	442
PIF1	PF05970.17	PIF1-like helicase	Cele_Y18H1A.6a.1  	9.8e-17	253	361	445	540
PIF1	PF05970.17	PIF1-like helicase	C_rema_KAF1769571.1  	1.2e-57	1	361	251	545
PIF1	PF05970.17	PIF1-like helicase	C_nigo_PIC54537.1  	2.5e-57	1	361	248	544
PIF1	PF05970.17	PIF1-like helicase	C_brig_XP_002638798.1  	6.7e-47	1	223	248	449
PIF1	PF05970.17	PIF1-like helicase	C_brig_XP_002638798.1  	6.4e-14	267	361	466	544
PIF1	PF05970.17	PIF1-like helicase	Odoli_5431_t  	6.9e-48	1	222	226	426
PIF1	PF05970.17	PIF1-like helicase	Odoli_5431_t  	9.5e-13	267	362	445	523
PIF1	PF05970.17	PIF1-like helicase	C_auri_CAD6195583.1  	7e-57	2	362	229	522
PIF1	PF05970.17	PIF1-like helicase	C_bren_EGT36565.1  	1.3e-44	2	221	254	451
PIF1	PF05970.17	PIF1-like helicase	C_bren_EGT36565.1  	1.1e-15	266	362	469	548
PIF1	PF05970.17	PIF1-like helicase	C_bovi_CAB3404341.1  	4.7e-47	2	224	517	716
PIF1	PF05970.17	PIF1-like helicase	C_bovi_CAB3404341.1  	5e-10	323	362	728	767
PIF1	PF05970.17	PIF1-like helicase	A_JU17_CAH6623411.1  	8e-46	2	219	215	411
PIF1	PF05970.17	PIF1-like helicase	A_JU17_CAH6623411.1  	2.3e-10	310	362	459	511
PIF1	PF05970.17	PIF1-like helicase	Otipu_g7655.t1  	6.7e-54	115	362	202	431
PIF1	PF05970.17	PIF1-like helicase	Odoli_12885_t  	8.8e-54	2	245	384	620
PIF1	PF05970.17	PIF1-like helicase	P_paci_KAF8360407.1  	2e-44	2	223	214	415
PIF1	PF05970.17	PIF1-like helicase	P_paci_KAF8360407.1  	1.9e-09	267	360	433	509
PIF1	PF05970.17	PIF1-like helicase	H_cont_CDJ81285.1  	3.5e-41	1	220	215	406
PIF1	PF05970.17	PIF1-like helicase	H_cont_CDJ81285.1  	1.1e-11	267	362	427	505
PIF1	PF05970.17	PIF1-like helicase	OspJU_g20000.t1  	1.3e-37	1	222	219	408
PIF1	PF05970.17	PIF1-like helicase	OspJU_g20000.t1  	8e-13	267	361	427	504
PIF1	PF05970.17	PIF1-like helicase	M_phar_XP_028045493.2  	1.4e-40	1	361	2048	2401
PIF1	PF05970.17	PIF1-like helicase	Otipu_g20000.t1  	1.3e-27	2	130	229	351
PIF1	PF05970.17	PIF1-like helicase	Otipu_g20000.t1  	1.6e-10	165	361	358	499
PIF1	PF05970.17	PIF1-like helicase	OspJU_10554_t  	3.3e-38	98	299	6	185
PIF1	PF05970.17	PIF1-like helicase	Odoli_12722_t  	2.1e-36	148	362	362	557
PIF1	PF05970.17	PIF1-like helicase	Odoli_3168_t  	6e-33	131	361	3	218
PIF1	PF05970.17	PIF1-like helicase	OspDF_g440.t1  	1.5e-18	2	84	225	299
PIF1	PF05970.17	PIF1-like helicase	OspDF_g440.t1  	5.3e-13	267	361	382	459
PIF1	PF05970.17	PIF1-like helicase	C_rema_XP_003102134.1  	1.8e-31	2	192	218	429
PIF1	PF05970.17	PIF1-like helicase	OspDF_g20002.t1  	3.1e-27	21	299	1545	1830
PIF1	PF05970.17	PIF1-like helicase	D_pachys_PAV69746.1  	2.7e-29	19	193	1998	2189
PIF1	PF05970.17	PIF1-like helicase	C_aur_CAD6200327.1  	8.8e-29	21	305	84	368
PIF1	PF05970.17	PIF1-like helicase	Odoli_17328_t  	7e-28	19	191	1733	1922
PIF1	PF05970.17	PIF1-like helicase	Odoli_2967_t  	1.2e-27	19	190	1733	1921
PIF1	PF05970.17	PIF1-like helicase	Odoli_12845_t  	1.3e-27	19	217	1733	1948
PIF1	PF05970.17	PIF1-like helicase	C_rema_XP_003091273.1  	3.5e-27	24	290	1895	2164
PIF1	PF05970.17	PIF1-like helicase	Cele_Y116F11A.1.2  	1.3e-26	3	152	25	170
PIF1	PF05970.17	PIF1-like helicase	C_aur_CAD6200254.1  	1.9e-15	1	90	1439	1537
PIF1	PF05970.17	PIF1-like helicase	C_aur_CAD6200254.1  	2.9e-06	127	306	1542	1711
PIF1	PF05970.17	PIF1-like helicase	Otipu_g20003.t1  	4.8e-24	3	158	1067	1235
PIF1	PF05970.17	PIF1-like helicase	Odoli_12860_t  	1e-25	19	155	1733	1878
PIF1	PF05970.17	PIF1-like helicase	Odoli_12912_t  	1e-25	19	155	1733	1878
PIF1	PF05970.17	PIF1-like helicase	Odoli_2964_t  	1e-25	19	155	1733	1878
PIF1	PF05970.17	PIF1-like helicase	Cele_C11G6.2.1  	7.6e-26	3	152	3	148
