assembly	chr	start	end	aa_len	transcript_id	interpro_ids	interpro_info	celeg_symbol	celeg_id	celeg_brief_Description	celeg_aa_len	qcovs	pident	evalue	bitscore
nxOscDolc1.1	chr_X	3805459	3806469	228	15150_t	IPR005027, IPR029044	Glycosyl transferase family 43, Nucleotide-diphospho-sugar transferases	W07G9.2a	W07G9.2a	NA	304	92	57.143	2.65e-88	263
nxOscDolc1.1	chr_X	3806748	3808412	415	15151_t	IPR009286	Inositol-pentakisphosphate 2-kinase	ippk-1	Y17G7B.13		454	99	35.948	1.57e-80	255
nxOscDolc1.1	chr_X	3811299	3811941	171	15152_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_X	3814665	3815070	121	15153_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_X	3815961	3818354	471	15154_t	IPR027267, IPR001683, IPR036871, IPR001452, IPR036028, IPR019497	AH/BAR domain superfamily, Phox homologous domain, PX domain superfamily, SH3 domain, SH3-like domain superfamily, Sorting nexin protein WASP-binding domain	Y37A1B.2d	Y37A1B.2d	NA	564	93	52.208	1.15e-153	448
nxOscDolc1.1	chr_X	3819033	3820566	368	15155_t	IPR000608, IPR016135	Ubiquitin-conjugating enzyme E2, Ubiquitin-conjugating enzyme/RWD-like	ubc-25	F25H2.8		387	100	47.132	2.29e-125	365
nxOscDolc1.1	chr_X	3821111	3822428	343	15156_t	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase	C52B9.8	C52B9.8		360	88	30.744	1.75e-43	153
nxOscDolc1.1	chr_X	3854302	3856324	524	15157_t	IPR011356, IPR000819, IPR041417	Peptidase M17 leucine aminopeptidase/peptidase B, Peptidase M17 leucyl aminopeptidase, C-terminal, Probable aminopeptidase NPEPL1 N-terminal	lap-1	ZK353.6	lap-1 encodes one of two C. elegans homologs of the M17 class of zinc metalloproteases, leucine aminopeptidase (LAP); lap-1 mutations result in slow growth and delayed onset of egg laying; lap-1 mRNA is present throughout the larval and adult life cycle and a lap-1 promoter fusion is expressed in the intestine; staining for LAP-1 protein reveals localization to the buccal cavity, pharynx, anterior gut and rectum.	491	94	50.101	1.42e-156	455
nxOscDolc1.1	chr_X	3857479	3859460	496	15158_t	IPR002293	Amino acid/polyamine transporter I	T13A10.10a	T13A10.10a	NA	526	98	44.239	4.13e-141	416
nxOscDolc1.1	chr_X	3863938	3865474	365	15160_t	IPR029044, IPR004988	Nucleotide-diphospho-sugar transferases, Protein of unknown function DUF273	ZK1055.2	ZK1055.2		400	82	48.505	1.23e-106	318
nxOscDolc1.1	chr_X	3866200	3870401	780	15161_t	IPR009072, IPR006342	Histone-fold, Methyltransferase FkbM	R09H10.2a	R09H10.2a	NA	293	38	43.421	2.54e-74	243
nxOscDolc1.1	chr_X	3871917	3874224	413	15162_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_X	3880649	3881903	264	15163_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_X	3882504	3883801	216	15164_t	IPR011009, IPR001245, IPR036465	Protein kinase-like domain superfamily, Serine-threonine/tyrosine-protein kinase catalytic domain, von Willebrand factor A-like domain superfamily	ver-3	F59F3.1		1227	40	38.372	1.93e-18	83.2
nxOscDolc1.1	chr_X	3886267	3886978	196	15165_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_X	3887199	3887861	220	15166_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_X	6679627	6686715	528	15876_t	IPR004951	Protein of unknown function DUF268 Caenorhabditis species	F56H6.2	F56H6.2		373	59	37.931	2.63e-69	227
nxOscDolc1.1	chr_X	12583411	12585838	578	17296_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_X	12587316	12587951	212	17297_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscOnir1.2	III	10615362	10624761	1268	8171_t	IPR010285, IPR027417	DNA helicase Pif1-like, P-loop containing nucleoside triphosphate hydrolase	Y18H1A.6c	Y18H1A.6c	NA	571	11	25.874	2.46e-5	48.5
nxOscOnir1.2	IV	13353371	13353900	128	11633_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscOnir1.2	X	215	887	224	14224_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscOnir1.2	X	11746972	11756577	1162	16972_t	IPR010285, IPR027417	DNA helicase Pif1-like, P-loop containing nucleoside triphosphate hydrolase	Y116F11A.1	Y116F11A.1		202	12	25	6.54e-4	42.4
nxOscSper1.1	I	4961	7179	652	1_t	IPR025476	Helitron helicase-like domain	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	I	7240	16179	485	2_t	IPR010285, IPR027417, IPR012337, IPR037220, IPR036236, IPR003656	DNA helicase Pif1-like, P-loop containing nucleoside triphosphate hydrolase, Ribonuclease H-like superfamily, Zinc finger BED domain, Zinc finger C2H2 superfamily, Zinc finger BED-type	Y18H1A.6c	Y18H1A.6c	NA	571	33	28.395	6.05e-10	61.6
nxOscSper1.1	I	7779329	7785830	251	2187_t	IPR019428	7TM GPCR serpentine receptor class r (Str)	str-23	C55A1.5		361	84	26.457	1.35e-14	72.4
nxOscSper1.1	II	811	3029	602	2188_t	IPR000605, IPR027417	Helicase superfamily 3, single-stranded DNA/RNA virus, P-loop containing nucleoside triphosphate hydrolase	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	II	3219	3830	203	2189_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	II	150979	152209	379	2191_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	II	152329	152920	176	2192_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	II	153281	153625	114	2193_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	II	153752	154453	233	2194_t	"NA"	"NA"	Y57G11C.20	Y57G11C.20		649	75	37.931	1.18e-19	87.4
nxOscSper1.1	II	154503	154855	104	2195_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	II	160002	162052	248	2196_t	IPR000719, IPR011009, IPR017441, IPR001245	Protein kinase domain, Protein kinase-like domain superfamily, Protein kinase ATP binding site, Serine-threonine/tyrosine-protein kinase catalytic domain	ZC581.7	ZC581.7		395	46	33.333	1.12e-11	63.9
nxOscSper1.1	II	162754	164361	226	2197_t	"NA"	"NA"	xpg-1	F57B10.6	xpg-1 encodes an ortholog of  human XPG (also known as ERCC5; mutations in this gene are associated with Cockayne Syndrome; OMIM:133530);  xpg-1 is a core NER (Nuclear Excision Repair) factor (other members being xpf-1, xpa-1, and ercc-1); NER factors remove UV-induced DNA damage and have been demonstrated to be required for both the global genome repair (GGR) and transcription coupled repair (TCR) pathways; XPG-1 activity is essential for the survival of germ cells and somatic tissue following UV irradiation and is necessary for germ cells and embryos to survive even relatively low doses of UV irradiation; mutations in xpg-1, as well as in other NER factors, render animals hypersensitive to UV light.	820	13	51.724	0.009	37
nxOscSper1.1	II	165824	168685	487	2198_t	IPR013783, IPR008962, IPR040986, IPR042568	Immunoglobulin-like fold, PapD-like superfamily, Sulfhydryl oxidase flavin adenine dinucleotide (FAD) binding domain, Sulfhydryl oxidase flavin adenine dinucleotide (FAD) binding domain superfamily	F47B7.2c	F47B7.2c	NA	624	54	46.503	8.59e-78	255
nxOscSper1.1	II	174413	174935	149	2199_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	II	178838	179332	138	2200_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	II	185142	186015	243	2201_t	"NA"	"NA"	F23C8.3a	F23C8.3a	NA	116	37	28.723	8.4e-5	41.2
nxOscSper1.1	III	46508	47223	237	4456_t	"NA"	"NA"	Y57G11C.20	Y57G11C.20		649	89	37.705	6e-16	76.6
nxOscSper1.1	III	7055185	7060965	601	6480_t	IPR000719, IPR011009, IPR017441, IPR029021, IPR003595, IPR000242, IPR008271, IPR000387	Protein kinase domain, Protein kinase-like domain superfamily, Protein kinase ATP binding site, Protein-tyrosine phosphatase-like, Protein-tyrosine phosphatase catalytic, PTP type protein phosphatase, Serine/threonine-protein kinase active site, Tyrosine specific protein phosphatases domain	F36H12.10	F36H12.10		398	18	43.396	4.44e-21	95.9
nxOscSper1.1	III	7062684	7065913	293	6481_t	IPR001584, IPR036397, IPR012337	Integrase catalytic core, Ribonuclease H superfamily, Ribonuclease H-like superfamily	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	III	7075121	7075484	121	6482_t	"NA"	"NA"	F54H12.2	F54H12.2		419	98	41.803	2.1e-25	98.6
nxOscSper1.1	IV	22481	23161	187	6483_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	IV	23718	26644	237	6484_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	IV	26743	27376	173	6485_t	IPR036236, IPR013087	Zinc finger C2H2 superfamily, Zinc finger C2H2-type	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	IV	28191	28535	103	6486_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	IV	36768	37469	233	6487_t	"NA"	"NA"	Y57G11C.20	Y57G11C.20		649	75	37.931	1.18e-19	87.4
nxOscSper1.1	IV	37592	37923	109	6488_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	IV	53709	54259	159	6489_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	IV	54324	58418	401	6490_t	IPR025476	Helitron helicase-like domain	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	V	429	1467	230	8887_t	"NA"	"NA"	C03A3.2	C03A3.2		492	57	61.069	1.03e-51	174
nxOscSper1.1	V	6837	7241	115	8889_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	V	23639	24547	222	8890_t	IPR000742, IPR013032	EGF-like domain, EGF-like conserved site	glp-1	F02A9.6	glp-1 encodes an N-glycosylated transmembrane protein that, along with LIN-12, comprises one of two C. elegans members of the LIN-12/Notch family of receptors; from the N- to the C-terminus, GLP-1 is characterized by ten extracellular EGF-like repeats, three LIN-12/Notch repeats, a CC-linker, a transmembrane domain, a RAM domain, six intracellular ankyrin repeats, and a PEST sequence; in C. elegans, GLP-1 activity is required for cell fate specification in germline and somatic tissues; in the germline, GLP-1, acting as a receptor for the DSL family ligand LAG-2, is essential for mitotic proliferation of germ cells and maintenance of germline stem cells; in somatic tissues, maternally provided GLP-1, acting as a receptor for the DSL family ligand APX-1, is required for inductive interactions that specify the fates of certain embryonic blastomeres; GLP-1 is also required for some later embryonic cell fate decisions, and in these decisions its activity is functionally redundant with that of LIN-12; GLP-1 expression is regulated temporally and spatially via translational control, as GLP-1 mRNA, present ubiquitously in the germline and embryo, yields detectable protein solely in lateral, interior, and endomembranes of distal, mitotic germ cells, and then predominantly in the AB blastomere and its descendants in the early embryo; proper spatial translation of glp-1 mRNA in the embryo is dependent upon genes such as the par genes, that are required for normal anterior-posterior asymmetry in the early embryo; signaling through GLP-1 controls the activity of the downstream Notch pathway components LAG-3 and LAG-1, the latter being predicted to function as part of a transcriptional feedback mechanism that positively regulates GLP-1 expression; signaling through the DNA-binding protein LAG-1 is believed to involve a direct interaction between LAG-1 and the GLP-1 RAM and ankyrin domains	1295	17	46.341	0.003	38.5
nxOscSper1.1	V	28116	30830	904	8891_t	IPR004868, IPR012337	DNA-directed DNA polymerase family B, mitochondria/virus, Ribonuclease H-like superfamily	C25F9.2	C25F9.2	C25F9.2 is predicted to have 3'-5' exonuclease activity, DNA binding activity, DNA-directed DNA polymerase activity, endonuclease activity, and nucleotide binding activity, based on protein domain information; this C. elegans gene shares domain structure and an insertion found in a platyfish, and the platyfish genome has retroviral integrase, ATPase and cysteine protease nearby, which suggests it derives from a giant DNA transposable element called a maverick or polintron.	1523	97	30.769	1.04e-137	447
nxOscSper1.1	V	31470	32512	280	8892_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	V	32557	33082	152	8893_t	IPR001810, IPR036047	F-box domain, F-box-like domain superfamily	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	V	33766	34481	201	8894_t	IPR041373	Reverse transcriptase RNase H-like domain	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	V	36085	36396	90	8895_t	IPR036168, IPR028565	AP-2 complex subunit mu C-terminal superfamily, Mu homology domain	apm-3	F53H8.1	apm-3 encodes an adaptin, orthologous to the mu3 subunit of adaptor protein complex 3 (AP-3); APM-3 is also orthologous to human HPS, which when mutated leads to Hermansky-Pudlak syndrome (OMIM:203300); based on structural similarity, APM-3 is predicted to be involved in the formation of intracellular transport vesicles, and genetic analyses indicate that apm-3 activity is required for biogenesis of lysosome-related gut granules.	414	96	66.279	6.4e-39	133
nxOscSper1.1	V	6992728	6993587	189	10744_t	IPR013783, IPR000535, IPR008962	Immunoglobulin-like fold, Major sperm protein (MSP) domain, PapD-like superfamily	C10H11.7	C10H11.7		177	62	24.409	5.37e-4	39.3
nxOscSper1.1	X	67204	67652	137	10745_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	82400	85232	494	10746_t	IPR021109, IPR001969, IPR041577	Aspartic peptidase domain superfamily, Aspartic peptidase active site, Reverse transcriptase/retrotransposon-derived protein RNase H-like domain	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	85608	86816	303	10747_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	102897	105687	759	10748_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	120764	126891	1519	10749_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	127214	128047	239	10750_t	IPR010285, IPR027417	DNA helicase Pif1-like, P-loop containing nucleoside triphosphate hydrolase	Y18H1A.6c	Y18H1A.6c	NA	571	64	27.564	6.88e-11	61.6
nxOscSper1.1	X	128210	129443	303	10751_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	132987	135950	800	10752_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	139629	144685	850	10753_t	IPR010285, IPR019336, IPR027417	DNA helicase Pif1-like, Intimal thickness related receptor IRP, P-loop containing nucleoside triphosphate hydrolase	C15A7.2	C15A7.2		513	51	40.183	4.73e-112	352
nxOscSper1.1	X	2344639	2345510	269	11303_t	IPR021109	Aspartic peptidase domain superfamily	K02F6.1	K02F6.1		783	15	48.78	1e-4	43.5
nxOscSper1.1	X	2347984	2348342	109	11304_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	2350733	2357827	764	11305_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	2362401	2365678	611	11307_t	IPR021109, IPR001995, IPR000477	Aspartic peptidase domain superfamily, Peptidase A2A retrovirus, catalytic, Reverse transcriptase domain	K02F6.1	K02F6.1		783	58	21.466	1.3e-15	80.5
nxOscSper1.1	X	2365779	2366786	336	11308_t	IPR041588, IPR041577	Integrase zinc-binding domain, Reverse transcriptase/retrotransposon-derived protein RNase H-like domain	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	2422626	2424098	379	11309_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	2424290	2425208	292	11310_t	IPR000477	Reverse transcriptase domain	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	2425598	2427618	579	11311_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	2431978	2434075	450	11312_t	IPR013785, IPR001155	Aldolase-type TIM barrel, NADH:flavin oxidoreductase/NADH oxidase N-terminal	F17A9.4	F17A9.4		457	97	55	3.93e-180	511
nxOscSper1.1	X	4766551	4767788	322	12009_t	IPR001766, IPR036390, IPR036388	Fork head domain, Winged helix DNA-binding domain superfamily, Winged helix-like DNA-binding domain superfamily	fkh-8	F40H3.4	fkh-8 encodes one of 15 C. elegans forkhead transcription factors; loss of fkh-8 activity via RNAi has been reported to result in either no defects or a weakly penetrant aldicarb resistance phenotype; an FKH-8 reporter fusion is expressed in nerve cells in the head and tail ganglia of both males and hermaphrodites with expression beginning in the later stages of embryogenesis and continuing through adulthood.	328	69	23.333	5.75e-7	50.4
nxOscSper1.1	X	4768041	4768627	159	12010_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	4768650	4769258	178	12011_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	9228058	9238993	2264	13205_t	IPR010285, IPR025476, IPR027417, IPR038765, IPR028889	DNA helicase Pif1-like, Helitron helicase-like domain, P-loop containing nucleoside triphosphate hydrolase, Papain-like cysteine peptidase superfamily, Ubiquitin specific protease domain	C11G6.2	C11G6.2		169	7	33.333	8.99e-15	74.3
nxOscSpeu1.1	I	2986865	2987418	146	866_t	"NA"	"NA"	F20D1.3	F20D1.3		463	97	34.211	1.44e-23	95.1
nxOscSpeu1.1	I	2987533	2987675	34	867_t	"NA"	"NA"	F20D1.3	F20D1.3		463	100	41.176	0.003	32.3
nxOscSpeu1.1	I	2990040	2992480	592	868_t	IPR008010	Tapt1 family	F26F2.7a	F26F2.7a	NA	712	98	51.067	0	631
nxOscSpeu1.1	I	3004083	3009642	384	870_t	IPR029526	PiggyBac transposable element-derived protein	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSpeu1.1	I	9750546	9751256	236	2609_t	IPR041588, IPR001584, IPR036397, IPR012337	Integrase zinc-binding domain, Integrase catalytic core, Ribonuclease H superfamily, Ribonuclease H-like superfamily	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSpeu1.1	II	133	1043	303	2610_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSpeu1.1	II	12785	14548	555	2611_t	IPR025476	Helitron helicase-like domain	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSpeu1.1	II	7325153	7326333	322	4418_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSpeu1.1	II	7337659	7341281	480	4419_t	IPR000719, IPR011009	Protein kinase domain, Protein kinase-like domain superfamily	ZK596.2	ZK596.2		305	25	35.484	8.79e-14	72
nxOscSpeu1.1	II	7342442	7350983	710	4420_t	IPR041588, IPR001584, IPR029526, IPR036397, IPR012337	Integrase zinc-binding domain, Integrase catalytic core, PiggyBac transposable element-derived protein, Ribonuclease H superfamily, Ribonuclease H-like superfamily	NA	NA	NA	NA	NA	NA	NA	NA
