assembly	chr	start	end	aa_len	transcript_id	interpro_ids	interpro_info	celeg_symbol	celeg_id	celeg_Description	celeg_aa_len	qcovs	pident	evalue	bitscore	celeg_chr
nxOscDolc1.1	II	10494298	10494861	187	5817_t	NA	NA	F54H12.2	F54H12.2	Predicted to enable ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor. Predicted to be involved in deoxyribonucleotide biosynthetic process. Predicted to be located in cytosol.	419	77	35.172	4.82e-19	83.6	III
nxOscDolc1.1	II	10495421	10496094	193	5818_t	NA	NA	Y57G11C.20	Y57G11C.20	Expressed in intestine.	649	74	37.063	1.75e-20	88.2	IV
nxOscDolc1.1	II_unloc_2	21418	22538	301	8862_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	II_unloc_2	22770	23775	272	8863_t	IPR038765, IPR003653, NA	Papain-like cysteine peptidase superfamily, Ulp1 protease family C-terminal catalytic domain, NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	II_unloc_2	29600	30336	199	8864_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	II_unloc_2	30551	34063	958	8865_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	II_unloc_2	34314	45861	3426	8866_t	IPR003593, IPR010285, IPR025476, IPR002589, IPR027417, NA	AAA+ ATPase domain, DNA helicase Pif1-like, Helitron helicase-like domain, Macro domain, P-loop containing nucleoside triphosphate hydrolase, NA	pif-1	Y18H1A.6c	pif-1 encodes a DNA-dependent ATPase and 5'-3' DNA helicase orthologous to Saccharomyces Pif1p and vertebrate PIF1; by homology, PIF-1 is predicted to function in maintenance of both mitochondrial and nuclear genome integrity; PIF-1 is also predicted to function as a negative regulator of telomerase activity that acts by displacing telomerase from the ends of DNA; loss of pif-1 activity via RNAi results in induction of the mitochondrial unfolded protein response.	571	11	32.484	1.77e-13	76.6	I
nxOscDolc1.1	II_unloc_2	46052	65095	5677	8867_t	IPR003593, IPR010285, IPR025476, IPR002589, IPR027417, IPR038765, IPR028889, NA	AAA+ ATPase domain, DNA helicase Pif1-like, Helitron helicase-like domain, Macro domain, P-loop containing nucleoside triphosphate hydrolase, Papain-like cysteine peptidase superfamily, Ubiquitin specific protease domain, NA	pif-1	Y18H1A.6c	pif-1 encodes a DNA-dependent ATPase and 5'-3' DNA helicase orthologous to Saccharomyces Pif1p and vertebrate PIF1; by homology, PIF-1 is predicted to function in maintenance of both mitochondrial and nuclear genome integrity; PIF-1 is also predicted to function as a negative regulator of telomerase activity that acts by displacing telomerase from the ends of DNA; loss of pif-1 activity via RNAi results in induction of the mitochondrial unfolded protein response.	571	13	32.484	2.87e-13	76.6	I
nxOscDolc1.1	II_unloc_2	65346	66395	316	8868_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	III	58646	63948	1170	5819_t	IPR025476, NA	Helitron helicase-like domain, NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	III	74012	75467	276	5820_t	NA	NA	Y53F4B.36	Y53F4B.36	Enriched in neurons; retrovesicular ganglion; and in male based on RNA-seq and microarray studies. Is affected by several genes including hsf-1; eat-2; and clk-1 based on microarray; tiling array; and RNA-seq studies. Is affected by four chemicals including D-glucose; antimycin; and paraquat based on RNA-seq and microarray studies.	297	54	20.773	1.04e-5	46.2	II
nxOscDolc1.1	III	75955	76773	231	5821_t	NA	NA	K08E4.3	K08E4.3b	Enriched in GABAergic neurons; excretory cell; germ line; muscle cell; and somatic gonad precursor based on tiling array; RNA-seq; and microarray studies. Is affected by several genes including daf-16; daf-2; and dpy-10 based on microarray; tiling array; and RNA-seq studies. Is affected by fourteen chemicals including hydrogen sulfide; rotenone; and stavudine based on microarray and RNA-seq studies.	283	92	25.229	8.49e-6	45.8	IV
nxOscDolc1.1	III	77014	78322	359	5822_t	IPR000990	Innexin	inx-6	C36H8.2	inx-6 encodes an innexin, an integral transmembrane channel protein that is a structural component of invertebrate gap junctions; INX-6 is required for formation of pharyngeal gap junctions and thus for the electrical coupling and synchronous muscle contractions necessary for normal feeding behavior and postembryonic development; INX-6 may function redundantly with EAT-5, another C. elegans innexin; INX-6 expression is first detected in embryonic pharyngeal precursors and during later larval and adult stages, in pharyngeal corpus muscles and isthmus marginal cells, where INX-6 localizes to plaque-like structures in the plasma membrane.	389	89	20.056	4.57e-5	45.1	IV
nxOscDolc1.1	III	78522	82639	997	5823_t	IPR018289, NA	MULE transposase domain, NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	III	83439	84327	153	5824_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	III	85687	89653	270	5825_t	IPR008962, NA	PapD-like superfamily, NA	ZK354.7	ZK354.7	Predicted to be located in cytoskeleton.	224	26	31.818	2.34e-8	53.5	IV
nxOscDolc1.1	III	4635671	4636434	116	7155_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	III	4636461	4636814	117	7156_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	III	4647649	4651181	365	7157_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	III	4652866	4654624	185	7158_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	III	4656726	4657101	104	7159_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	III	4657425	4658206	194	7160_t	IPR019002, NA	Ribosome biogenesis protein Nop16, NA	nol-16	ZK265.6	Predicted to be involved in ribosomal large subunit biogenesis. Located in nucleolus. Is an ortholog of human NOP16 (NOP16 nucleolar protein).	189	79	39.49	2.78e-29	107	I
nxOscDolc1.1	III	4658509	4659374	210	7161_t	IPR002589, NA	Macro domain, NA	B0035.3	B0035.3	Predicted to enable ADP-ribosylglutamate hydrolase activity. Predicted to be involved in cellular response to DNA damage stimulus; peptidyl-glutamate ADP-deribosylation; and purine nucleoside metabolic process. Predicted to be located in nucleoplasm. Is an ortholog of human MACROD1 (mono-ADP ribosylhydrolase 1).	203	94	59.898	2.03e-81	241	IV
nxOscDolc1.1	III	4660578	4661245	136	7162_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	III_unloc_1	1397	3859	499	8854_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	III_unloc_1	7042	17800	3165	8855_t	IPR010285, IPR025476, IPR002589, IPR027417, IPR038765, IPR028889, NA	DNA helicase Pif1-like, Helitron helicase-like domain, Macro domain, P-loop containing nucleoside triphosphate hydrolase, Papain-like cysteine peptidase superfamily, Ubiquitin specific protease domain, NA	pif-1	Y18H1A.6c	pif-1 encodes a DNA-dependent ATPase and 5'-3' DNA helicase orthologous to Saccharomyces Pif1p and vertebrate PIF1; by homology, PIF-1 is predicted to function in maintenance of both mitochondrial and nuclear genome integrity; PIF-1 is also predicted to function as a negative regulator of telomerase activity that acts by displacing telomerase from the ends of DNA; loss of pif-1 activity via RNAi results in induction of the mitochondrial unfolded protein response.	571	12	26.531	7.89e-12	71.2	I
nxOscDolc1.1	III_unloc_1	18034	19054	296	8856_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	III_unloc_1	19528	20083	156	8857_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	III_unloc_1	21635	23291	497	8858_t	IPR002589, NA	Macro domain, NA	B0035.3	B0035.3	Predicted to enable ADP-ribosylglutamate hydrolase activity. Predicted to be involved in cellular response to DNA damage stimulus; peptidyl-glutamate ADP-deribosylation; and purine nucleoside metabolic process. Predicted to be located in nucleoplasm. Is an ortholog of human MACROD1 (mono-ADP ribosylhydrolase 1).	203	14	36.986	7.23e-4	41.2	IV
nxOscDolc1.1	III_unloc_1	24452	35210	3165	8859_t	IPR010285, IPR025476, IPR002589, IPR027417, IPR038765, IPR028889, NA	DNA helicase Pif1-like, Helitron helicase-like domain, Macro domain, P-loop containing nucleoside triphosphate hydrolase, Papain-like cysteine peptidase superfamily, Ubiquitin specific protease domain, NA	pif-1	Y18H1A.6c	pif-1 encodes a DNA-dependent ATPase and 5'-3' DNA helicase orthologous to Saccharomyces Pif1p and vertebrate PIF1; by homology, PIF-1 is predicted to function in maintenance of both mitochondrial and nuclear genome integrity; PIF-1 is also predicted to function as a negative regulator of telomerase activity that acts by displacing telomerase from the ends of DNA; loss of pif-1 activity via RNAi results in induction of the mitochondrial unfolded protein response.	571	12	26.531	7.89e-12	71.2	I
nxOscDolc1.1	III_unloc_1	35444	36464	296	8860_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	III_unloc_1	36938	37480	152	8861_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	IV	92377	93043	154	8869_t	NA	NA	F54H12.2	F54H12.2	Predicted to enable ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor. Predicted to be involved in deoxyribonucleotide biosynthetic process. Predicted to be located in cytosol.	419	50	40.506	1.3e-8	52.8	III
nxOscDolc1.1	IV	94655	96561	332	8870_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	IV	230358	230971	204	8871_t	IPR036691	Endonuclease/exonuclease/phosphatase superfamily	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	V	146004	148298	412	12374_t	IPR001951, IPR009072, IPR000719, IPR011009, IPR008271, NA	Histone H4, Histone-fold, Protein kinase domain, Protein kinase-like domain superfamily, Serine/threonine-protein kinase active site, NA	C27D6.11	C27D6.11	Predicted to enable protein serine/threonine kinase activity. Predicted to be involved in intracellular signal transduction and protein phosphorylation. Is an ortholog of human TSSK6 (testis specific serine kinase 6).	331	17	58.571	9.21e-18	84	II
nxOscDolc1.1	V	149325	150443	306	12375_t	IPR009060, IPR015940, IPR000626, IPR029071, IPR004806, IPR015360, IPR036353, NA	UBA-like superfamily, Ubiquitin-associated domain, Ubiquitin-like domain, Ubiquitin-like domain superfamily, UV excision repair protein Rad23, XPC-binding domain, XPC-binding domain superfamily, NA	rad-23	ZK20.3	rad-23 encodes a protein containing ubiquitin-like (UBL) and ubiquitin-associated (UBA) domains that is a member  of the Radiation Sensitivity 23 (RAD23) family of proteasomal ubiquitin receptors; in C. elegans, rad-23 activity is required for normal axon branching; rad-23 displays genetic interactions with png-1, which encodes a peptide-N-glycanase, also required for proper axon branching during vulval development; in addition, large-scale RNAi screens indicate that hermaphrodites treated with rad-23(RNAi) become sick and sterile, suggesting a more general role for rad-23; large-scale yeast two-hybrid experiments report that RAD-23 interacts with the product of ZK1240.2, which encodes a predicted E3 ubiquitin ligase; like its orthologs in yeast and mammals, C. elegans rad-23 functions in nucleotide excision repair (NER); rad-23 functions in the global genome repair (GGR) pathway of NER and is necessary in germ cells to repair UV-induced DNA damage and for normal meiotic development following UV irradiation; rad-23 is partially necessary for efficient UV-induced apoptosis in germ cells; rad-23 is an ortholog of human hHR23A and hHR23B.	323	98	36.449	4.0199999999999996e-54	179	II
nxOscDolc1.1	V	151018	153281	549	12376_t	IPR003107, IPR010491, IPR011990, NA	HAT (Half-A-TPR) repeat, PRP1 splicing factor N-terminal, Tetratricopeptide-like helical domain superfamily, NA	prp-6	Y59A8B.6	Predicted to be involved in spliceosomal tri-snRNP complex assembly. Predicted to be located in nucleus. Predicted to be part of U4/U6 x U5 tri-snRNP complex and catalytic step 2 spliceosome. Human ortholog(s) of this gene implicated in retinitis pigmentosa 60. Is an ortholog of human PRPF6 (pre-mRNA processing factor 6).	968	99	45.591	4.0999999999999997e-109	348	V
nxOscDolc1.1	V	153351	154166	205	12377_t	IPR003107, IPR013026, IPR011990, NA	HAT (Half-A-TPR) repeat, Tetratricopeptide repeat-containing domain, Tetratricopeptide-like helical domain superfamily, NA	prp-6	Y59A8B.6	Predicted to be involved in spliceosomal tri-snRNP complex assembly. Predicted to be located in nucleus. Predicted to be part of U4/U6 x U5 tri-snRNP complex and catalytic step 2 spliceosome. Human ortholog(s) of this gene implicated in retinitis pigmentosa 60. Is an ortholog of human PRPF6 (pre-mRNA processing factor 6).	968	100	53.712	1.21e-83	266	V
nxOscDolc1.1	V	157094	161375	171	12378_t	IPR000477, NA	Reverse transcriptase domain, NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	V	6453599	6454240	127	13800_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	V	6455098	6457904	719	13801_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	V	6461424	6461820	118	13802_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	V	6463599	6467418	290	13803_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	V	6468502	6470457	266	13804_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	V	11190722	11192429	157	15121_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	V	11192567	11194497	546	15122_t	NA	NA	C45G9.15	C45G9.15	Enriched in male based on RNA-seq studies. Is affected by several genes including daf-2; eat-2; and isp-1 based on microarray and RNA-seq studies. Is affected by six chemicals including allantoin; Sirolimus; and Rifampin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Protein of unknown function (DUF851) and Protein of unknown function DUF851.	353	20	25.664	0.01	38.5	III
nxOscDolc1.1	V	11194555	11195351	138	15123_t	IPR012309, IPR012340, NA	DNA ligase ATP-dependent, C-terminal, Nucleic acid-binding OB-fold, NA	lig-1	C29A12.3a	lig-1 encodes a putative ATP-dependent DNA ligase, based on homology; lig-1 may be one of the direct targets of the daf-16 forkhead transcription factor, based on chromatin immunoprecipitation (ChIP) studies.	773	57	62.025	4.41e-28	107	V
nxOscDolc1.1	V	11197691	11198717	295	15124_t	IPR009057, IPR025246, IPR002492, IPR036388, NA	Homeobox-like domain superfamily, Transposase IS30-like HTH domain, Transposase Tc1-like, Winged helix-like DNA-binding domain superfamily, NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	X	3802271	3804300	395	16047_t	IPR003378, NA	Fringe-like, NA	C16D9.6	C16D9.6	Predicted to enable glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase activity. Predicted to be involved in O-glycan processing, core 1. Predicted to be located in membrane. Predicted to be integral component of membrane. Human ortholog(s) of this gene implicated in Tn polyagglutination syndrome. Is an ortholog of human C1GALT1C1 (C1GALT1 specific chaperone 1).	340	67	36.735	2.3000000000000002e-59	196	V
nxOscDolc1.1	X	3805459	3806469	228	16048_t	IPR005027, IPR029044	Glycosyl transferase family 43, Nucleotide-diphospho-sugar transferases	glct-6	W07G9.2a	Predicted to enable galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity and metal ion binding activity. Predicted to be involved in protein glycosylation. Predicted to be located in Golgi membrane. Predicted to be integral component of membrane. Human ortholog(s) of this gene implicated in Barrett's esophagus and schizophrenia. Is an ortholog of human B3GAT2 (beta-1,3-glucuronyltransferase 2).	304	92	57.143	2.65e-88	263	IV
nxOscDolc1.1	X	3806748	3808412	415	16049_t	IPR009286, NA	Inositol-pentakisphosphate 2-kinase, NA	ippk-1	Y17G7B.13	Predicted to enable inositol pentakisphosphate 2-kinase activity. Predicted to be involved in inositol phosphate biosynthetic process and inositol phosphorylation. Predicted to be located in nucleus. Is an ortholog of human IPPK (inositol-pentakisphosphate 2-kinase).	454	99	35.948	1.57e-80	255	II
nxOscDolc1.1	X	3811299	3811941	171	16050_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	X	3814665	3815070	121	16051_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	X	3815961	3818354	471	16052_t	IPR027267, IPR001683, IPR036871, IPR001452, IPR036028, IPR019497, NA	AH/BAR domain superfamily, Phox homologous domain, PX domain superfamily, SH3 domain, SH3-like domain superfamily, Sorting nexin protein WASP-binding domain, NA	lst-4	Y37A1B.2d	lst-4 encodes multiple isoforms of a sorting nexin that are the sole C. elegans members of the SNX9 family of sorting nexins ; activity of the SH3 domain-containing LST-4 isoforms is required for regulation of phagosome maturation during apoptotic cell corpse clearance, specifically for regulating phagosomal fusion with endosomes and lysosomes; LST-4 physically interacts with the DYN-1/dynamin GTPase that is also required for phagosomal maturation; LST-4::GFP reporter fusions localizes to phagosomal surfaces as well as to highly dynamic membrane tubules that extend from phagosomes; murine SNX33 is able to rescue the cell corpse engulfment defects seen in lst-4 mutant animals.	564	93	52.208	1.1499999999999999e-153	448	IV
nxOscDolc1.1	X	3819033	3820566	368	16053_t	IPR000608, IPR016135, NA	Ubiquitin-conjugating enzyme E2, Ubiquitin-conjugating enzyme/RWD-like, NA	ubc-25	F25H2.8	Predicted to enable ubiquitin conjugating enzyme activity. Involved in locomotion. Located in cytosol; neuronal cell body; and nucleus. Expressed in body wall musculature; embryonic cell; non-striated muscle; and somatic nervous system. Is an ortholog of human UBE2Q1 (ubiquitin conjugating enzyme E2 Q1) and UBE2Q2 (ubiquitin conjugating enzyme E2 Q2).	387	100	47.132	2.2899999999999998e-125	365	I
nxOscDolc1.1	X	3821111	3822428	343	16054_t	IPR029063, NA	S-adenosyl-L-methionine-dependent methyltransferase, NA	C52B9.8	C52B9.8	Predicted to be located in membrane. Predicted to be integral component of membrane.	360	88	30.744	1.7499999999999998e-43	153	X
nxOscDolc1.1	X	3854302	3856324	524	16055_t	IPR011356, IPR000819, IPR041417, NA	Peptidase M17 leucine aminopeptidase/peptidase B, Peptidase M17 leucyl aminopeptidase, C-terminal, Probable aminopeptidase NPEPL1 N-terminal, NA	lap-1	ZK353.6	lap-1 encodes one of two C. elegans homologs of the M17 class of zinc metalloproteases, leucine aminopeptidase (LAP); lap-1 mutations result in slow growth and delayed onset of egg laying; lap-1 mRNA is present throughout the larval and adult life cycle and a lap-1 promoter fusion is expressed in the intestine; staining for LAP-1 protein reveals localization to the buccal cavity, pharynx, anterior gut and rectum.	491	94	50.101	1.4199999999999998e-156	455	III
nxOscDolc1.1	X	3857479	3859460	496	16056_t	IPR002293, NA	Amino acid/polyamine transporter I, NA	aat-4	T13A10.10a	aat-4 encodes a predicted amino acid transporter catalytic subunit; unlike catalytic subunits in other organisms, however, AAT-4 does not contain the highly conserved cysteine residue known to facilitate covalent interaction with a glycoprotein subunit, suggesting that AAT-4 does not require this residue for heterodimer formation or, alternatively, does not require the glycoprotein subunit for function.	526	98	44.239	4.1299999999999997e-141	416	IV
nxOscDolc1.1	X	3859838	3862774	749	16057_t	IPR005049	STELLO-like	F56H6.9	F56H6.9	Predicted to be located in membrane. Predicted to be integral component of membrane.	802	99	38.161	0	541	I
nxOscDolc1.1	X	3863938	3865474	365	16058_t	IPR029044, IPR004988	Nucleotide-diphospho-sugar transferases, Protein of unknown function DUF273	ZK1055.2	ZK1055.2	Predicted to be located in membrane. Predicted to be integral component of membrane.	400	82	48.505	1.2299999999999997e-106	318	V
nxOscDolc1.1	X	3866200	3870401	793	16059_t	IPR009072, IPR006342, NA	Histone-fold, Methyltransferase FkbM, NA	R09H10.2	R09H10.2a	Enriched in intestine and in male based on RNA-seq studies. Is affected by several genes including daf-2; skn-1; and elt-2 based on microarray and RNA-seq studies. Is affected by four chemicals including Rifampin; allantoin; and Sirolimus based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Methyltransferase FkbM domain and Methyltransferase FkbM.	293	36	44.027	4.3399999999999996e-74	243	IV
nxOscDolc1.1	X	3871917	3874224	413	16060_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	X	3877657	3879067	157	16061_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	X	3880649	3881903	264	16062_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	X	3882504	3884000	272	16063_t	IPR011009, IPR001245, IPR020635, IPR036465, NA	Protein kinase-like domain superfamily, Serine-threonine/tyrosine-protein kinase catalytic domain, Tyrosine-protein kinase catalytic domain, von Willebrand factor A-like domain superfamily, NA	ver-3	F59F3.1	Predicted to enable transmembrane receptor protein tyrosine kinase activity. Involved in nematode male tail tip morphogenesis. Predicted to be integral component of plasma membrane. Predicted to be part of receptor complex. Expressed in ALA; anal sphincter muscle; and pharyngeal muscle cell. Human ortholog(s) of this gene implicated in several diseases, including carcinoma (multiple); eye disease (multiple); and reproductive organ cancer (multiple). Is an ortholog of several human genes including FLT3 (fms related receptor tyrosine kinase 3); KDR (kinase insert domain receptor); and KIT (KIT proto-oncogene, receptor tyrosine kinase).	1227	29	40	1.11e-17	82.8	X
nxOscDolc1.1	X	3886267	3886978	196	16064_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	X	3887199	3889088	252	16065_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	X	6679314	6686594	604	16776_t	IPR004951, NA	Protein of unknown function DUF268 Caenorhabditis species, NA	F56H6.2	F56H6.2	Predicted to be located in membrane. Predicted to be integral component of membrane.	373	55	37.647	1.49e-71	234	I
nxOscDolc1.1	X	12575892	12576482	102	18218_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	X	12577996	12580301	596	18219_t	IPR018289	MULE transposase domain	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	X	12581355	12586855	1315	18220_t	IPR018289, NA	MULE transposase domain, NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	X	12587253	12588080	255	18221_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscOnir1.2	III	10611251	10612701	427	g8171.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscOnir1.2	III	10612742	10624782	3354	g8172.t1	NA	NA	pif-1	Y18H1A.6b	pif-1 encodes a DNA-dependent ATPase and 5'-3' DNA helicase orthologous to Saccharomyces Pif1p and vertebrate PIF1; by homology, PIF-1 is predicted to function in maintenance of both mitochondrial and nuclear genome integrity; PIF-1 is also predicted to function as a negative regulator of telomerase activity that acts by displacing telomerase from the ends of DNA; loss of pif-1 activity via RNAi results in induction of the mitochondrial unfolded protein response.	394	9	34.965	7.1e-14	76.6	I
nxOscOnir1.2	IV	1819	2112	83	g13230.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscOnir1.2	IV	13343840	13345063	238	g16540.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
