assembly	chr	diminution_pos	telo_orient	precise_support	for_coord	feature	type
nxOscSper1.1	X	9242542	R	0	yes	chr_end	distal
nxOscSpeu1.1	I	1	L	0	yes	chr_end	distal
nxOscSpeu1.1	I	1	L	0	yes	chr_end	distal
nxOscSpeu1.1	I	2982873	R	107	yes	telomere_seq_split	internal
nxOscSpeu1.1	I	3019287	L	94	yes	telomere_seq_split	internal
nxOscSpeu1.1	I	9747642	R	95	yes	telomere_seq_split	distal
nxOscSpeu1.1	I	9751266	R	0	yes	chr_end	distal
nxOscSpeu1.1	II	1	L	0	yes	chr_end	distal
nxOscSpeu1.1	II	20402	L	98	yes	telomere_seq_split	distal
nxOscSpeu1.1	II	7323672	R	82	yes	telomere_seq_split	internal
nxOscSpeu1.1	II	7392426	L	106	yes	telomere_seq_split	internal
nxOscSpeu1.1	II	10222752	R	84	yes	telomere_seq_split	distal
nxOscSpeu1.1	II	10227709	R	0	yes	chr_end	distal
nxOscSpeu1.1	III	1	L	0	yes	chr_end	distal
nxOscSpeu1.1	III	5335	L	87	yes	telomere_seq_split	distal
nxOscSpeu1.1	III	5644106	R	88	yes	telomere_seq_split	internal
nxOscSpeu1.1	III	5644109	L	108	yes	telomere_seq_split	internal
nxOscSpeu1.1	III	9498667	R	121	yes	telomere_seq_split	distal
nxOscSpeu1.1	III	9530098	R	0	yes	chr_end	distal
nxOscSpeu1.1	IV	1	L	0	yes	chr_end	distal
nxOscSpeu1.1	IV	5067	L	93	yes	telomere_seq_split	distal
nxOscSpeu1.1	IV	2573830	R	83	yes	gap	internal
nxOscSpeu1.1	IV	2621654	L	96	yes	telomere_seq_split	internal
nxOscSpeu1.1	IV	6701994	R	99	yes	telomere_seq_split	internal
nxOscSpeu1.1	IV	6701996	L	82	yes	telomere_seq_split	internal
nxOscSpeu1.1	IV	9678298	R	0	yes	chr_end	distal
nxOscSpeu1.1	IV	9678298	R	0	yes	chr_end	distal
nxOscSpeu1.1	V	1	L	0	yes	chr_end	distal
nxOscSpeu1.1	V	89533	L	88	yes	telomere_seq_split	distal
nxOscSpeu1.1	V	4685180	R	100	yes	telomere_seq_split	internal
nxOscSpeu1.1	V	4685570	L	86	yes	telomere_seq_split	internal
nxOscSpeu1.1	V	10859128	R	107	yes	telomere_seq_split	distal
nxOscSpeu1.1	V	10899440	R	0	yes	chr_end	distal
nxOscSpeu1.1	X	1	L	0	yes	chr_end	distal
nxOscSpeu1.1	X	3078	L	128	yes	telomere_seq_split	distal
nxOscSpeu1.1	X	1325004	R	106	yes	telomere_seq_split	internal
nxOscSpeu1.1	X	1325007	L	79	yes	telomere_seq_split	internal
nxOscSpeu1.1	X	6339632	R	104	yes	telomere_seq_split	internal
nxOscSpeu1.1	X	6341932	L	95	yes	telomere_seq_split	internal
nxOscSpeu1.1	X	7669426	R	76	yes	telomere_seq_split	internal
nxOscSpeu1.1	X	7673380	L	124	yes	should_be_gap_although_can_be_recovered_from_a_single_read	internal
nxOscSpeu1.1	X	9264410	R	100	yes	telomere_seq_split	internal
nxOscSpeu1.1	X	9264669	L	81	yes	telomere_seq_split	internal
nxOscSpeu1.1	X	9264670	L	15	no	telomere_seq_split	internal
nxOscSpeu1.1	X	12145073	R	68	yes	telomere_seq_split	distal
nxOscSpeu1.1	X	12161589	R	0	yes	chr_end	distal
nxOscTipu1.1	I	1	L	0	yes	chr_end	distal
nxOscTipu1.1	I	27185	L	96	yes	telomere_seq_split	distal
nxOscTipu1.1	I	8860880	R	74	yes	telomere_seq_split	distal
nxOscTipu1.1	I	8916589	R	0	yes	chr_end	distal
nxOscTipu1.1	II	1	L	0	yes	chr_end	distal
nxOscTipu1.1	II	25181	L	81	yes	telomere_seq_split	distal
nxOscTipu1.1	II	25184	L	14	no	telomere_seq_split	distal
nxOscTipu1.1	II	8999760	R	77	yes	telomere_seq_split	distal
nxOscTipu1.1	II	9029974	R	0	yes	chr_end	distal
nxOscTipu1.1	III	1	L	0	yes	chr_end	distal
nxOscTipu1.1	III	16299	L	63	yes	telomere_seq_split	distal
nxOscTipu1.1	III	9596329	R	65	yes	telomere_seq_split	distal
nxOscTipu1.1	III	9635449	R	0	yes	chr_end	distal
nxOscTipu1.1	IV	1	L	0	yes	chr_end	distal
nxOscTipu1.1	IV	39783	L	84	yes	telomere_seq_split	distal
nxOscTipu1.1	IV	11179843	R	17	no	telomere_seq_split	distal
nxOscTipu1.1	IV	11179847	R	52	yes	telomere_seq_split	distal
nxOscTipu1.1	IV	11185017	R	0	yes	chr_end	distal
nxOscTipu1.1	V	1	L	0	yes	chr_end	distal
nxOscTipu1.1	V	30664	L	57	yes	telomere_seq_split	distal
nxOscTipu1.1	V	10783456	R	72	yes	telomere_seq_split	distal
nxOscTipu1.1	V	10817478	R	0	yes	chr_end	distal
nxOscTipu1.1	X	1	L	0	yes	chr_end	distal
nxOscTipu1.1	X	51846	L	71	yes	telomere_seq_split	distal
nxOscTipu1.1	X	11175685	R	72	yes	telomere_seq_split	distal
nxOscTipu1.1	X	11323338	R	0	yes	chr_end	distal
