seqnames	ID	assembly	Sequence	tID	gshortIds	newgID
nxOscDolc1.1_V	ID=13800_t;Parent=13800_g;gene_id=13800_g;transcript_id=13800_t	nxOscDolc1.1	V	13800_t	Odoli	Odoli_13800_t
nxOscDolc1.1_V	ID=13801_t;Parent=13801_g;gene_id=13801_g;transcript_id=13801_t	nxOscDolc1.1	V	13801_t	Odoli	Odoli_13801_t
nxOscDolc1.1_V	ID=13802_t;Parent=13802_g;gene_id=13802_g;transcript_id=13802_t	nxOscDolc1.1	V	13802_t	Odoli	Odoli_13802_t
nxOscDolc1.1_V	ID=13803_t;Parent=13803_g;gene_id=13803_g;transcript_id=13803_t	nxOscDolc1.1	V	13803_t	Odoli	Odoli_13803_t
nxOscDolc1.1_V	ID=13804_t;Parent=13804_g;gene_id=13804_g;transcript_id=13804_t	nxOscDolc1.1	V	13804_t	Odoli	Odoli_13804_t
nxOscDolc1.1_V	ID=15121_t;Parent=15121_g;gene_id=15121_g;transcript_id=15121_t	nxOscDolc1.1	V	15121_t	Odoli	Odoli_15121_t
nxOscDolc1.1_V	ID=15122_t;Parent=15122_g;gene_id=15122_g;transcript_id=15122_t	nxOscDolc1.1	V	15122_t	Odoli	Odoli_15122_t
nxOscDolc1.1_V	ID=15123_t;Parent=15123_g;gene_id=15123_g;transcript_id=15123_t	nxOscDolc1.1	V	15123_t	Odoli	Odoli_15123_t
nxOscDolc1.1_V	ID=15124_t;Parent=15124_g;gene_id=15124_g;transcript_id=15124_t	nxOscDolc1.1	V	15124_t	Odoli	Odoli_15124_t
nxOscDolc1.1_I	ID=1_t;Parent=1_g;gene_id=1_g;transcript_id=1_t	nxOscDolc1.1	I	1_t	Odoli	Odoli_1_t
nxOscDolc1.1_I	ID=1042_t;Parent=1042_g;gene_id=1042_g;transcript_id=1042_t	nxOscDolc1.1	I	1042_t	Odoli	Odoli_1042_t
nxOscDolc1.1_I	ID=1043_t;Parent=1043_g;gene_id=1043_g;transcript_id=1043_t	nxOscDolc1.1	I	1043_t	Odoli	Odoli_1043_t
nxOscDolc1.1_I	ID=1044_t;Parent=1044_g;gene_id=1044_g;transcript_id=1044_t	nxOscDolc1.1	I	1044_t	Odoli	Odoli_1044_t
nxOscDolc1.1_I	ID=1045_t;Parent=1045_g;gene_id=1045_g;transcript_id=1045_t	nxOscDolc1.1	I	1045_t	Odoli	Odoli_1045_t
nxOscDolc1.1_I	ID=1046_t;Parent=1046_g;gene_id=1046_g;transcript_id=1046_t	nxOscDolc1.1	I	1046_t	Odoli	Odoli_1046_t
nxOscDolc1.1_I	ID=1047_t;Parent=1047_g;gene_id=1047_g;transcript_id=1047_t	nxOscDolc1.1	I	1047_t	Odoli	Odoli_1047_t
nxOscDolc1.1_I	ID=1048_t;Parent=1048_g;gene_id=1048_g;transcript_id=1048_t	nxOscDolc1.1	I	1048_t	Odoli	Odoli_1048_t
nxOscDolc1.1_I	ID=3087_t;Parent=3087_g;gene_id=3087_g;transcript_id=3087_t	nxOscDolc1.1	I	3087_t	Odoli	Odoli_3087_t
nxOscDolc1.1_I	ID=3088_t;Parent=3088_g;gene_id=3088_g;transcript_id=3088_t	nxOscDolc1.1	I	3088_t	Odoli	Odoli_3088_t
nxOscDolc1.1_I	ID=3089_t;Parent=3089_g;gene_id=3089_g;transcript_id=3089_t	nxOscDolc1.1	I	3089_t	Odoli	Odoli_3089_t
nxOscDolc1.1_III_unloc_1	ID=8854_t;Parent=8854_g;gene_id=8854_g;transcript_id=8854_t	nxOscDolc1.1	1	8854_t	Odoli	Odoli_8854_t
nxOscDolc1.1_III_unloc_1	ID=g20001.t1;Parent=g20001;gene_id=g20001;transcript_id=g20001.t1	nxOscDolc1.1	1	g20001.t1	Odoli	Odoli_g20001.t1
nxOscDolc1.1_III_unloc_1	ID=8856_t;Parent=8856_g;gene_id=8856_g;transcript_id=8856_t	nxOscDolc1.1	1	8856_t	Odoli	Odoli_8856_t
nxOscDolc1.1_III_unloc_1	ID=8857_t;Parent=8857_g;gene_id=8857_g;transcript_id=8857_t	nxOscDolc1.1	1	8857_t	Odoli	Odoli_8857_t
nxOscDolc1.1_III_unloc_1	ID=8858_t;Parent=8858_g;gene_id=8858_g;transcript_id=8858_t	nxOscDolc1.1	1	8858_t	Odoli	Odoli_8858_t
nxOscDolc1.1_III_unloc_1	ID=8859_t;Parent=8859_g;gene_id=8859_g;transcript_id=8859_t	nxOscDolc1.1	1	8859_t	Odoli	Odoli_8859_t
nxOscDolc1.1_III_unloc_1	ID=8860_t;Parent=8860_g;gene_id=8860_g;transcript_id=8860_t	nxOscDolc1.1	1	8860_t	Odoli	Odoli_8860_t
nxOscDolc1.1_III_unloc_1	ID=8861_t;Parent=8861_g;gene_id=8861_g;transcript_id=8861_t	nxOscDolc1.1	1	8861_t	Odoli	Odoli_8861_t
nxOscDolc1.1_II_unloc_2	ID=8862_t;Parent=8862_g;gene_id=8862_g;transcript_id=8862_t	nxOscDolc1.1	2	8862_t	Odoli	Odoli_8862_t
nxOscDolc1.1_II_unloc_2	ID=8863_t;Parent=8863_g;gene_id=8863_g;transcript_id=8863_t	nxOscDolc1.1	2	8863_t	Odoli	Odoli_8863_t
nxOscDolc1.1_II_unloc_2	ID=8864_t;Parent=8864_g;gene_id=8864_g;transcript_id=8864_t	nxOscDolc1.1	2	8864_t	Odoli	Odoli_8864_t
nxOscDolc1.1_II_unloc_2	ID=8865_t;Parent=8865_g;gene_id=8865_g;transcript_id=8865_t	nxOscDolc1.1	2	8865_t	Odoli	Odoli_8865_t
nxOscDolc1.1_II_unloc_2	ID=g20003.t1;Parent=g20003;gene_id=g20003;transcript_id=g20003.t1	nxOscDolc1.1	2	g20003.t1	Odoli	Odoli_g20003.t1
nxOscDolc1.1_II_unloc_2	ID=8868_t;Parent=8868_g;gene_id=8868_g;transcript_id=8868_t	nxOscDolc1.1	2	8868_t	Odoli	Odoli_8868_t
nxOscOnir1.2_IV	ID=g13230.t1;Parent=g13230;gene_id=g13230;transcript_id=g13230.t1	nxOscOnir1.2	IV	g13230.t1	Oonir	Oonir_g13230.t1
nxOscOnir1.2_IV	ID=g16540.t1;Parent=g16540;gene_id=g16540;transcript_id=g16540.t1	nxOscOnir1.2	IV	g16540.t1	Oonir	Oonir_g16540.t1
nxOscOnir1.2_IV	ID=g16541.t1;Parent=g16541;gene_id=g16541;transcript_id=g16541.t1	nxOscOnir1.2	IV	g16541.t1	Oonir	Oonir_g16541.t1
nxOscOnir1.2_IV	ID=g16542.t1;Parent=g16542;gene_id=g16542;transcript_id=g16542.t1	nxOscOnir1.2	IV	g16542.t1	Oonir	Oonir_g16542.t1
nxOscOnir1.2_IV	ID=g16543.t1;Parent=g16543;gene_id=g16543;transcript_id=g16543.t1	nxOscOnir1.2	IV	g16543.t1	Oonir	Oonir_g16543.t1
nxOscOnir1.2_III	ID=g8171.t1;Parent=g8171;gene_id=g8171;transcript_id=g8171.t1	nxOscOnir1.2	III	g8171.t1	Oonir	Oonir_g8171.t1
nxOscOnir1.2_III	ID=g20001.t1;Parent=g20001;gene_id=g20001;transcript_id=g20001.t1	nxOscOnir1.2	III	g20001.t1	Oonir	Oonir_g20001.t1
nxOscOnir1.2_X	ID=g2700.t1;Parent=g2700;gene_id=g2700;transcript_id=g2700.t1	nxOscOnir1.2	X	g2700.t1	Oonir	Oonir_g2700.t1
nxOscOnir1.2_X	ID=g2701.t1;Parent=g2701;gene_id=g2701;transcript_id=g2701.t1	nxOscOnir1.2	X	g2701.t1	Oonir	Oonir_g2701.t1
nxOscOnir1.2_X	ID=g2702.t1;Parent=g2702;gene_id=g2702;transcript_id=g2702.t1	nxOscOnir1.2	X	g2702.t1	Oonir	Oonir_g2702.t1
nxOscOnir1.2_X	ID=g5256.t1;Parent=g5256;gene_id=g5256;transcript_id=g5256.t1	nxOscOnir1.2	X	g5256.t1	Oonir	Oonir_g5256.t1
nxOscOnir1.2_X	ID=g5257.t1;Parent=g5257;gene_id=g5257;transcript_id=g5257.t1	nxOscOnir1.2	X	g5257.t1	Oonir	Oonir_g5257.t1
nxOscOnir1.2_X	ID=g20002.t1;Parent=g20002;gene_id=g20002;transcript_id=g20002.t1	nxOscOnir1.2	X	g20002.t1	Oonir	Oonir_g20002.t1
nxOscSper1.1_IV	ID=g7144.t1;Parent=g7144;gene_id=g7144;transcript_id=g7144.t1	nxOscSper1.1	IV	g7144.t1	OspDF	OspDF_g7144.t1
nxOscSper1.1_IV	ID=g7145.t1;Parent=g7145;gene_id=g7145;transcript_id=g7145.t1	nxOscSper1.1	IV	g7145.t1	OspDF	OspDF_g7145.t1
nxOscSper1.1_IV	ID=g7146.t1;Parent=g7146;gene_id=g7146;transcript_id=g7146.t1	nxOscSper1.1	IV	g7146.t1	OspDF	OspDF_g7146.t1
nxOscSper1.1_IV	ID=g7147.t1;Parent=g7147;gene_id=g7147;transcript_id=g7147.t1	nxOscSper1.1	IV	g7147.t1	OspDF	OspDF_g7147.t1
nxOscSper1.1_IV	ID=g7148.t1;Parent=g7148;gene_id=g7148;transcript_id=g7148.t1	nxOscSper1.1	IV	g7148.t1	OspDF	OspDF_g7148.t1
nxOscSper1.1_IV	ID=g7149.t1;Parent=g7149;gene_id=g7149;transcript_id=g7149.t1	nxOscSper1.1	IV	g7149.t1	OspDF	OspDF_g7149.t1
nxOscSper1.1_IV	ID=g7150.t1;Parent=g7150;gene_id=g7150;transcript_id=g7150.t1	nxOscSper1.1	IV	g7150.t1	OspDF	OspDF_g7150.t1
nxOscSper1.1_IV	ID=g7151.t1;Parent=g7151;gene_id=g7151;transcript_id=g7151.t1	nxOscSper1.1	IV	g7151.t1	OspDF	OspDF_g7151.t1
nxOscSper1.1_IV	ID=g7152.t1;Parent=g7152;gene_id=g7152;transcript_id=g7152.t1	nxOscSper1.1	IV	g7152.t1	OspDF	OspDF_g7152.t1
nxOscSper1.1_IV	ID=g7153.t1;Parent=g7153;gene_id=g7153;transcript_id=g7153.t1	nxOscSper1.1	IV	g7153.t1	OspDF	OspDF_g7153.t1
nxOscSper1.1_IV	ID=g7154.t1;Parent=g7154;gene_id=g7154;transcript_id=g7154.t1	nxOscSper1.1	IV	g7154.t1	OspDF	OspDF_g7154.t1
nxOscSper1.1_IV	ID=g7155.t1;Parent=g7155;gene_id=g7155;transcript_id=g7155.t1	nxOscSper1.1	IV	g7155.t1	OspDF	OspDF_g7155.t1
nxOscSper1.1_IV	ID=g7156.t1;Parent=g7156;gene_id=g7156;transcript_id=g7156.t1	nxOscSper1.1	IV	g7156.t1	OspDF	OspDF_g7156.t1
nxOscSper1.1_IV	ID=g7157.t1;Parent=g7157;gene_id=g7157;transcript_id=g7157.t1	nxOscSper1.1	IV	g7157.t1	OspDF	OspDF_g7157.t1
nxOscSper1.1_IV	ID=g9711.t1;Parent=g9711;gene_id=g9711;transcript_id=g9711.t1	nxOscSper1.1	IV	g9711.t1	OspDF	OspDF_g9711.t1
nxOscSper1.1_X	ID=g4601.t1;Parent=g4601;gene_id=g4601;transcript_id=g4601.t1	nxOscSper1.1	X	g4601.t1	OspDF	OspDF_g4601.t1
nxOscSper1.1_X	ID=g4602.t1;Parent=g4602;gene_id=g4602;transcript_id=g4602.t1	nxOscSper1.1	X	g4602.t1	OspDF	OspDF_g4602.t1
nxOscSper1.1_X	ID=g4603.t1;Parent=g4603;gene_id=g4603;transcript_id=g4603.t1	nxOscSper1.1	X	g4603.t1	OspDF	OspDF_g4603.t1
nxOscSper1.1_X	ID=g4604.t1;Parent=g4604;gene_id=g4604;transcript_id=g4604.t1	nxOscSper1.1	X	g4604.t1	OspDF	OspDF_g4604.t1
nxOscSper1.1_X	ID=g4605.t1;Parent=g4605;gene_id=g4605;transcript_id=g4605.t1	nxOscSper1.1	X	g4605.t1	OspDF	OspDF_g4605.t1
nxOscSper1.1_X	ID=g4606.t1;Parent=g4606;gene_id=g4606;transcript_id=g4606.t1	nxOscSper1.1	X	g4606.t1	OspDF	OspDF_g4606.t1
nxOscSper1.1_X	ID=g4607.t1;Parent=g4607;gene_id=g4607;transcript_id=g4607.t1	nxOscSper1.1	X	g4607.t1	OspDF	OspDF_g4607.t1
nxOscSper1.1_X	ID=g4608.t1;Parent=g4608;gene_id=g4608;transcript_id=g4608.t1	nxOscSper1.1	X	g4608.t1	OspDF	OspDF_g4608.t1
nxOscSper1.1_X	ID=g4609.t1;Parent=g4609;gene_id=g4609;transcript_id=g4609.t1	nxOscSper1.1	X	g4609.t1	OspDF	OspDF_g4609.t1
nxOscSper1.1_X	ID=g4610.t1;Parent=g4610;gene_id=g4610;transcript_id=g4610.t1	nxOscSper1.1	X	g4610.t1	OspDF	OspDF_g4610.t1
nxOscSper1.1_X	ID=g4611.t1;Parent=g4611;gene_id=g4611;transcript_id=g4611.t1	nxOscSper1.1	X	g4611.t1	OspDF	OspDF_g4611.t1
nxOscSper1.1_X	ID=g5159.t1;Parent=g5159;gene_id=g5159;transcript_id=g5159.t1	nxOscSper1.1	X	g5159.t1	OspDF	OspDF_g5159.t1
nxOscSper1.1_X	ID=g5160.t1;Parent=g5160;gene_id=g5160;transcript_id=g5160.t1	nxOscSper1.1	X	g5160.t1	OspDF	OspDF_g5160.t1
nxOscSper1.1_X	ID=g5161.t1;Parent=g5160;gene_id=g5161;transcript_id=g5161.t1	nxOscSper1.1	X	g5161.t1	OspDF	OspDF_g5161.t1
nxOscSper1.1_X	ID=g5162.t1;Parent=g5162;gene_id=g5162;transcript_id=g5162.t1	nxOscSper1.1	X	g5162.t1	OspDF	OspDF_g5162.t1
nxOscSper1.1_X	ID=g5163.t1;Parent=g5163;gene_id=g5163;transcript_id=g5163.t1	nxOscSper1.1	X	g5163.t1	OspDF	OspDF_g5163.t1
nxOscSper1.1_X	ID=g5164.t1;Parent=g5164;gene_id=g5164;transcript_id=g5164.t1	nxOscSper1.1	X	g5164.t1	OspDF	OspDF_g5164.t1
nxOscSper1.1_X	ID=g5165.t1;Parent=g5165;gene_id=g5165;transcript_id=g5165.t1	nxOscSper1.1	X	g5165.t1	OspDF	OspDF_g5165.t1
nxOscSper1.1_X	ID=g5166.t1;Parent=g5166;gene_id=g5166;transcript_id=g5166.t1	nxOscSper1.1	X	g5166.t1	OspDF	OspDF_g5166.t1
nxOscSper1.1_X	ID=g5167.t1;Parent=g5167;gene_id=g5167;transcript_id=g5167.t1	nxOscSper1.1	X	g5167.t1	OspDF	OspDF_g5167.t1
nxOscSper1.1_X	ID=g5168.t1;Parent=g5168;gene_id=g5168;transcript_id=g5168.t1	nxOscSper1.1	X	g5168.t1	OspDF	OspDF_g5168.t1
nxOscSper1.1_X	ID=g5169.t1;Parent=g5169;gene_id=g5169;transcript_id=g5169.t1	nxOscSper1.1	X	g5169.t1	OspDF	OspDF_g5169.t1
nxOscSper1.1_X	ID=g5170.t1;Parent=g5170;gene_id=g5170;transcript_id=g5170.t1	nxOscSper1.1	X	g5170.t1	OspDF	OspDF_g5170.t1
nxOscSper1.1_X	ID=g5171.t1;Parent=g5171;gene_id=g5171;transcript_id=g5171.t1	nxOscSper1.1	X	g5171.t1	OspDF	OspDF_g5171.t1
nxOscSper1.1_X	ID=g5172.t1;Parent=g5172;gene_id=g5172;transcript_id=g5172.t1	nxOscSper1.1	X	g5172.t1	OspDF	OspDF_g5172.t1
nxOscSper1.1_X	ID=g5173.t1;Parent=g5173;gene_id=g5173;transcript_id=g5173.t1	nxOscSper1.1	X	g5173.t1	OspDF	OspDF_g5173.t1
nxOscSper1.1_X	ID=g5174.t2;Parent=g5174;gene_id=g5174;transcript_id=g5174.t1	nxOscSper1.1	X	g5174.t2	OspDF	OspDF_g5174.t2
nxOscSper1.1_X	ID=g5175.t1;Parent=g5175;gene_id=g5175;transcript_id=g5175.t1	nxOscSper1.1	X	g5175.t1	OspDF	OspDF_g5175.t1
nxOscSper1.1_X	ID=g5176.t1;Parent=g5176;gene_id=g5176;transcript_id=g5176.t1	nxOscSper1.1	X	g5176.t1	OspDF	OspDF_g5176.t1
nxOscSper1.1_X	ID=g5177.t1;Parent=g5177;gene_id=g5177;transcript_id=g5177.t1	nxOscSper1.1	X	g5177.t1	OspDF	OspDF_g5177.t1
nxOscSper1.1_X	ID=g5178.t1;Parent=g5178;gene_id=g5178;transcript_id=g5178.t1	nxOscSper1.1	X	g5178.t1	OspDF	OspDF_g5178.t1
nxOscSper1.1_X	ID=g5179.t1;Parent=g5179;gene_id=g5179;transcript_id=g5179.t1	nxOscSper1.1	X	g5179.t1	OspDF	OspDF_g5179.t1
nxOscSper1.1_X	ID=g7142.t1;Parent=g7142;gene_id=g7142;transcript_id=g7142.t1	nxOscSper1.1	X	g7142.t1	OspDF	OspDF_g7142.t1
nxOscSper1.1_X	ID=g20002.t1;Parent=g20002;gene_id=g20002;transcript_id=g20002.t1	nxOscSper1.1	X	g20002.t1	OspDF	OspDF_g20002.t1
nxOscSper1.1_I	ID=g11684.t1;Parent=g11684;gene_id=g11684;transcript_id=g11684.t1	nxOscSper1.1	I	g11684.t1	OspDF	OspDF_g11684.t1
nxOscSper1.1_I	ID=g11685.t1;Parent=g11685;gene_id=g11685;transcript_id=g11685.t1	nxOscSper1.1	I	g11685.t1	OspDF	OspDF_g11685.t1
nxOscSper1.1_I	ID=g20001.t1;Parent=g20001;gene_id=g20001;transcript_id=g20001.t1	nxOscSper1.1	I	g20001.t1	OspDF	OspDF_g20001.t1
nxOscSper1.1_I	ID=g11687.t1;Parent=g11687;gene_id=g11687;transcript_id=g11687.t1	nxOscSper1.1	I	g11687.t1	OspDF	OspDF_g11687.t1
nxOscSper1.1_I	ID=g11688.t1;Parent=g11688;gene_id=g11688;transcript_id=g11688.t1	nxOscSper1.1	I	g11688.t1	OspDF	OspDF_g11688.t1
nxOscSper1.1_I	ID=g11689.t1;Parent=g11689;gene_id=g11689;transcript_id=g11689.t1	nxOscSper1.1	I	g11689.t1	OspDF	OspDF_g11689.t1
nxOscSper1.1_I	ID=g11690.t1;Parent=g11690;gene_id=g11690;transcript_id=g11690.t1	nxOscSper1.1	I	g11690.t1	OspDF	OspDF_g11690.t1
nxOscSper1.1_I	ID=g11691.t1;Parent=g11691;gene_id=g11691;transcript_id=g11691.t1	nxOscSper1.1	I	g11691.t1	OspDF	OspDF_g11691.t1
nxOscSper1.1_I	ID=g11692.t1;Parent=g11692;gene_id=g11692;transcript_id=g11692.t1	nxOscSper1.1	I	g11692.t1	OspDF	OspDF_g11692.t1
nxOscSper1.1_I	ID=g14053.t1;Parent=g14053;gene_id=g14053;transcript_id=g14053.t1	nxOscSper1.1	I	g14053.t1	OspDF	OspDF_g14053.t1
nxOscSper1.1_I	ID=g14054.t1;Parent=g14054;gene_id=g14054;transcript_id=g14054.t1	nxOscSper1.1	I	g14054.t1	OspDF	OspDF_g14054.t1
