start	end	width	strand	source	type	score	phase	assembly	Sequence	newgID
5718989	5720622	1634	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_4535_t
5720918	5722208	1291	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_4536_t
5724273	5726036	1764	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_4537_t
5726643	5728210	1568	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_4538_t
5729356	5732700	3345	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_4539_t
5732868	5736320	3453	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_4540_t
8549851	8552790	2940	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_5341_t
8553240	8556885	3646	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_5342_t
1769153	1770398	1246	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	IV	Odoli_9167_t
4652953	4654167	1215	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	IV	Odoli_9955_t
4655678	4657905	2228	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	IV	Odoli_9956_t
4658104	4659527	1424	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	IV	Odoli_9957_t
4660136	4661363	1228	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	IV	Odoli_9958_t
4661731	4668053	6323	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	IV	Odoli_9959_t
4668204	4669666	1463	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	IV	Odoli_9960_t
4669700	4670538	839	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	IV	Odoli_9961_t
4670841	4671568	728	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	IV	Odoli_9962_t
4671622	4672641	1020	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	IV	Odoli_9963_t
3221335	3234775	13441	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	V	Odoli_12879_t
4599111	4601893	2783	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	V	Odoli_13221_t
4602838	4604724	1887	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	V	Odoli_13222_t
4613663	4616733	3071	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	V	Odoli_13223_t
6631606	6632116	511	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	V	Odoli_13852_t
6632146	6633008	863	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	V	Odoli_13853_t
7534037	7536104	2068	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	V	Odoli_14135_t
7860766	7867289	6524	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	V	Odoli_14251_t
7867954	7869465	1512	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	V	Odoli_14252_t
7869655	7872928	3274	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	V	Odoli_14253_t
8315092	8317158	2067	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	V	Odoli_14384_t
8317482	8323173	5692	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	V	Odoli_14385_t
8323304	8324714	1411	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	V	Odoli_14386_t
8324776	8326641	1866	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	V	Odoli_14387_t
9087369	9090775	3407	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	V	Odoli_14613_t
9091129	9092080	952	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	V	Odoli_14614_t
9092594	9095553	2960	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	V	Odoli_14615_t
9096320	9096953	634	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	V	Odoli_14616_t
9098479	9101107	2629	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	V	Odoli_14617_t
9103031	9104938	1908	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	V	Odoli_14618_t
10414541	10415372	832	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	V	Odoli_14936_t
10416689	10418922	2234	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	V	Odoli_14937_t
10419309	10421847	2539	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	V	Odoli_14938_t
1293247	1293753	507	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_245_t
1294645	1296154	1510	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_246_t
1297003	1302788	5786	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_247_t
1310155	1313939	3785	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_248_t
1397186	1397692	507	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_264_t
2503744	2507151	3408	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_551_t
2507704	2512882	5179	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_552_t
5714954	5759629	44676	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_1596_t
6749733	6753632	3900	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_1933_t
6754333	6757429	3097	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_1934_t
6758506	6762312	3807	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_1935_t
6762622	6762992	371	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_1936_t
6763100	6763604	505	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_1937_t
7485424	7489357	3934	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_2182_t
7490265	7491410	1146	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_2183_t
7492248	7494982	2735	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_2184_t
7746898	7747349	452	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_2270_t
7749593	7752722	3130	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_2271_t
7984445	7984807	363	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_2336_t
7985293	7986421	1129	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_2337_t
7987337	7989561	2225	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_2338_t
8725802	8728427	2626	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_2519_t
8729619	8733576	3958	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_2520_t
8733963	8740120	6158	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_2521_t
8740828	8743126	2299	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_2522_t
10680849	10682915	2067	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_2969_t
10684439	10686459	2021	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	I	Odoli_2970_t
1452641	1455666	3026	-	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	II	Oonir_g8238.t1
2914986	2916087	1102	-	AUGUSTUS	mRNA	0.56	.	nxOscOnir1.2	II	Oonir_g8606.t1
2916440	2923449	7010	-	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	II	Oonir_g8607.t1
7150172	7152495	2324	-	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	II	Oonir_g9815.t1
7156542	7157122	581	-	AUGUSTUS	mRNA	0.99	.	nxOscOnir1.2	II	Oonir_g9816.t1
7157277	7159862	2586	+	AUGUSTUS	mRNA	0.76	.	nxOscOnir1.2	II	Oonir_g9817.t1
7160024	7161252	1229	-	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	II	Oonir_g9818.t1
7161543	7163200	1658	+	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	II	Oonir_g9819.t1
7163332	7168795	5464	+	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	II	Oonir_g9820.t1
9387324	9391618	4295	+	AUGUSTUS	mRNA	0.74	.	nxOscOnir1.2	II	Oonir_g10393.t1
9392812	9395717	2906	+	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	II	Oonir_g10394.t1
4446147	4452960	6814	-	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	I	Oonir_g1191.t1
4453338	4455618	2281	-	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	I	Oonir_g1192.t1
7381677	7383053	1377	-	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	I	Oonir_g2019.t1
3559472	3567436	7965	+	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	IV	Oonir_g13848.t1
3567587	3570086	2500	+	AUGUSTUS	mRNA	0.51	.	nxOscOnir1.2	IV	Oonir_g13849.t1
3570856	3571329	474	-	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	IV	Oonir_g13850.t1
3573612	3582474	8863	-	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	IV	Oonir_g13851.t1
1891460	1892914	1455	-	AUGUSTUS	mRNA	0.78	.	nxOscOnir1.2	III	Oonir_g5733.t1
1893166	1895130	1965	-	AUGUSTUS	mRNA	0.76	.	nxOscOnir1.2	III	Oonir_g5734.t1
2736121	2739303	3183	+	AUGUSTUS	mRNA	0.7	.	nxOscOnir1.2	III	Oonir_g5970.t1
2740074	2740815	742	-	AUGUSTUS	mRNA	0.99	.	nxOscOnir1.2	III	Oonir_g5971.t1
3948793	3950513	1721	+	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	III	Oonir_g6373.t1
4144422	4147502	3081	+	AUGUSTUS	mRNA	0.8	.	nxOscOnir1.2	III	Oonir_g6439.t1
4148384	4149039	656	+	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	III	Oonir_g6440.t1
4149083	4154542	5460	-	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	III	Oonir_g6441.t1
4156082	4157147	1066	-	AUGUSTUS	mRNA	0.67	.	nxOscOnir1.2	III	Oonir_g6442.t1
4157760	4159943	2184	-	AUGUSTUS	mRNA	0.45	.	nxOscOnir1.2	III	Oonir_g6443.t1
4160321	4161390	1070	-	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	III	Oonir_g6444.t1
4161566	4162615	1050	+	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	III	Oonir_g6445.t1
8703148	8712850	9703	+	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	III	Oonir_g7779.t1
8717081	8720353	3273	-	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	III	Oonir_g7780.t1
9195247	9195582	336	-	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	V	Oonir_g13055.t1
9196141	9197116	976	-	AUGUSTUS	mRNA	0.97	.	nxOscOnir1.2	V	Oonir_g13056.t1
3992886	3995952	3067	+	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	X	Oonir_g3553.t1
4738485	4740229	1745	+	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	X	Oonir_g3728.t1
4740301	4741392	1092	-	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	X	Oonir_g3729.t1
4741862	4744304	2443	-	AUGUSTUS	mRNA	0.55	.	nxOscOnir1.2	X	Oonir_g3730.t1
4744968	4746480	1513	+	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	X	Oonir_g3731.t1
4748588	4748990	403	+	AUGUSTUS	mRNA	0.53	.	nxOscOnir1.2	X	Oonir_g3732.t1
4749324	4751280	1957	-	AUGUSTUS	mRNA	0.98	.	nxOscOnir1.2	X	Oonir_g3733.t1
4865521	4866210	690	-	AUGUSTUS	mRNA	0.94	.	nxOscOnir1.2	X	Oonir_g3760.t1
4868325	4868806	482	-	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	X	Oonir_g3761.t1
4873221	4874693	1473	-	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	X	Oonir_g3762.t1
4875949	4877699	1751	+	AUGUSTUS	mRNA	0.49	.	nxOscOnir1.2	X	Oonir_g3763.t1
4877864	4882765	4902	-	AUGUSTUS	mRNA	1	.	nxOscOnir1.2	X	Oonir_g3764.t1
7712999	7719361	6363	-	AUGUSTUS	mRNA	0.78	.	nxOscOnir1.2	X	Oonir_g4361.t1
194227	196045	1819	+	AUGUSTUS	mRNA	0.5	.	nxOscSper1.1	IV	OspDF_g7196.t1
198563	199762	1200	-	AUGUSTUS	mRNA	0.59	.	nxOscSper1.1	IV	OspDF_g7197.t1
305751	307503	1753	-	AUGUSTUS	mRNA	0.98	.	nxOscSper1.1	IV	OspDF_g7242.t1
497331	499489	2159	+	AUGUSTUS	mRNA	0.97	.	nxOscSper1.1	IV	OspDF_g7291.t1
500497	503929	3433	+	AUGUSTUS	mRNA	0.96	.	nxOscSper1.1	IV	OspDF_g7292.t1
504929	507148	2220	+	AUGUSTUS	mRNA	0.99	.	nxOscSper1.1	IV	OspDF_g7293.t1
2263281	2265252	1972	+	AUGUSTUS	mRNA	1	.	nxOscSper1.1	IV	OspDF_g7759.t1
2265429	2266034	606	+	AUGUSTUS	mRNA	0.91	.	nxOscSper1.1	IV	OspDF_g7760.t1
2266475	2267168	694	+	AUGUSTUS	mRNA	0.99	.	nxOscSper1.1	IV	OspDF_g7761.t1
4990001	5000088	10088	+	AUGUSTUS	mRNA	0.57	.	nxOscSper1.1	IV	OspDF_g8781.t1
6654761	6658447	3687	-	AUGUSTUS	mRNA	0.99	.	nxOscSper1.1	IV	OspDF_g9284.t1
8260984	8261765	782	-	AUGUSTUS	mRNA	0.99	.	nxOscSper1.1	IV	OspDF_g9676.t1
8262013	8262644	632	+	AUGUSTUS	mRNA	1	.	nxOscSper1.1	IV	OspDF_g9677.t1
8265151	8266571	1421	+	AUGUSTUS	mRNA	1	.	nxOscSper1.1	IV	OspDF_g9678.t1
8266734	8270225	3492	-	AUGUSTUS	mRNA	0.98	.	nxOscSper1.1	IV	OspDF_g9679.t1
8270398	8272074	1677	-	AUGUSTUS	mRNA	0.99	.	nxOscSper1.1	IV	OspDF_g9680.t1
8272184	8272692	509	-	AUGUSTUS	mRNA	1	.	nxOscSper1.1	IV	OspDF_g9681.t1
8273236	8273961	726	+	AUGUSTUS	mRNA	1	.	nxOscSper1.1	IV	OspDF_g9682.t1
1845397	1846669	1273	-	AUGUSTUS	mRNA	1	.	nxOscSper1.1	X	OspDF_g5047.t1
1847148	1849037	1890	-	AUGUSTUS	mRNA	1	.	nxOscSper1.1	X	OspDF_g5048.t1
2582026	2583529	1504	-	AUGUSTUS	mRNA	0.96	.	nxOscSper1.1	X	OspDF_g5223.t1
2585984	2590168	4185	+	AUGUSTUS	mRNA	0.71	.	nxOscSper1.1	X	OspDF_g5224.t1
2592238	2593071	834	-	AUGUSTUS	mRNA	0.64	.	nxOscSper1.1	X	OspDF_g5225.t1
2959991	2962384	2394	+	AUGUSTUS	mRNA	1	.	nxOscSper1.1	X	OspDF_g5337.t1
2963222	2966065	2844	+	AUGUSTUS	mRNA	1	.	nxOscSper1.1	X	OspDF_g5338.t1
2966311	2968428	2118	+	AUGUSTUS	mRNA	0.91	.	nxOscSper1.1	X	OspDF_g5339.t1
2968819	2971535	2717	+	AUGUSTUS	mRNA	1	.	nxOscSper1.1	X	OspDF_g5340.t1
2971919	2974335	2417	-	AUGUSTUS	mRNA	1	.	nxOscSper1.1	X	OspDF_g5341.t1
2974791	2977244	2454	-	AUGUSTUS	mRNA	1	.	nxOscSper1.1	X	OspDF_g5342.t1
5927080	5930533	3454	+	AUGUSTUS	mRNA	1	.	nxOscSper1.1	X	OspDF_g6248.t1
5931691	5933157	1467	+	AUGUSTUS	mRNA	1	.	nxOscSper1.1	X	OspDF_g6249.t1
5933396	5934108	713	-	AUGUSTUS	mRNA	0.99	.	nxOscSper1.1	X	OspDF_g6250.t1
5934226	5935434	1209	+	AUGUSTUS	mRNA	0.94	.	nxOscSper1.1	X	OspDF_g6251.t1
7200722	7204943	4222	-	AUGUSTUS	mRNA	1	.	nxOscSper1.1	X	OspDF_g6645.t1
7208085	7209280	1196	+	AUGUSTUS	mRNA	1	.	nxOscSper1.1	X	OspDF_g6646.t1
7535506	7536994	1489	-	AUGUSTUS	mRNA	1	.	nxOscSper1.1	X	OspDF_g6732.t1
7537627	7538809	1183	-	AUGUSTUS	mRNA	0.96	.	nxOscSper1.1	X	OspDF_g6733.t1
684414	704781	20368	+	AUGUSTUS	mRNA	1	.	nxOscSper1.1	I	OspDF_g11881.t1
705657	707910	2254	-	AUGUSTUS	mRNA	0.57	.	nxOscSper1.1	I	OspDF_g11882.t1
1644447	1645199	753	-	AUGUSTUS	mRNA	1	.	nxOscSper1.1	I	OspDF_g12101.t1
1648345	1648691	347	-	AUGUSTUS	mRNA	0.46	.	nxOscSper1.1	I	OspDF_g12102.t1
1649770	1651408	1639	-	AUGUSTUS	mRNA	1	.	nxOscSper1.1	I	OspDF_g12103.t1
1652992	1657789	4798	+	AUGUSTUS	mRNA	0.98	.	nxOscSper1.1	I	OspDF_g12104.t1
1657895	1660566	2672	-	AUGUSTUS	mRNA	1	.	nxOscSper1.1	I	OspDF_g12105.t1
1676658	1678270	1613	-	AUGUSTUS	mRNA	1	.	nxOscSper1.1	I	OspDF_g12112.t1
1678890	1680478	1589	+	AUGUSTUS	mRNA	1	.	nxOscSper1.1	I	OspDF_g12113.t1
1680564	1681157	594	-	AUGUSTUS	mRNA	0.98	.	nxOscSper1.1	I	OspDF_g12114.t1
1681569	1682499	931	-	AUGUSTUS	mRNA	1	.	nxOscSper1.1	I	OspDF_g12115.t1
1682988	1684503	1516	-	AUGUSTUS	mRNA	0.73	.	nxOscSper1.1	I	OspDF_g12116.t1
1684638	1685533	896	-	AUGUSTUS	mRNA	1	.	nxOscSper1.1	I	OspDF_g12117.t1
3923694	3928128	4435	+	AUGUSTUS	mRNA	1	.	nxOscSper1.1	I	OspDF_g12835.t1
3928410	3933572	5163	+	AUGUSTUS	mRNA	0.97	.	nxOscSper1.1	I	OspDF_g12836.t1
5024323	5035624	11302	+	AUGUSTUS	mRNA	0.92	.	nxOscSper1.1	I	OspDF_g13257.t2
6909372	6910753	1382	+	AUGUSTUS	mRNA	0.39	.	nxOscSper1.1	I	OspDF_g13794.t1
6911418	6912449	1032	-	AUGUSTUS	mRNA	0.86	.	nxOscSper1.1	I	OspDF_g13795.t1
7462217	7465699	3483	+	AUGUSTUS	mRNA	1	.	nxOscSper1.1	I	OspDF_g13953.t1
7465865	7467077	1213	+	AUGUSTUS	mRNA	1	.	nxOscSper1.1	I	OspDF_g13954.t1
7471566	7474366	2801	+	AUGUSTUS	mRNA	0.89	.	nxOscSper1.1	I	OspDF_g13955.t1
7475518	7476695	1178	-	AUGUSTUS	mRNA	0.92	.	nxOscSper1.1	I	OspDF_g13956.t1
7477526	7478250	725	-	AUGUSTUS	mRNA	0.4	.	nxOscSper1.1	I	OspDF_g13957.t1
2314748	2316053	1306	-	AUGUSTUS	mRNA	1	.	nxOscSper1.1	II	OspDF_g545.t1
2317885	2320052	2168	+	AUGUSTUS	mRNA	1	.	nxOscSper1.1	II	OspDF_g546.t1
2320436	2321829	1394	-	AUGUSTUS	mRNA	1	.	nxOscSper1.1	II	OspDF_g547.t1
7178174	7182074	3901	-	AUGUSTUS	mRNA	1	.	nxOscSper1.1	II	OspDF_g2148.t1
7191335	7192168	834	+	AUGUSTUS	mRNA	0.98	.	nxOscSper1.1	II	OspDF_g2149.t1
7193365	7195384	2020	+	AUGUSTUS	mRNA	1	.	nxOscSper1.1	II	OspDF_g2150.t1
7195811	7199157	3347	-	AUGUSTUS	mRNA	1	.	nxOscSper1.1	II	OspDF_g2151.t1
7199334	7202770	3437	-	AUGUSTUS	mRNA	1	.	nxOscSper1.1	II	OspDF_g2152.t1
6390545	6395525	4981	+	AUGUSTUS	mRNA	1	.	nxOscSper1.1	V	OspDF_g11535.t1
6698050	6699693	1644	+	AUGUSTUS	mRNA	0.76	.	nxOscSper1.1	III	OspDF_g4487.t1
451890	455328	3439	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	I	OspJU_175_t
458404	459242	839	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	I	OspJU_176_t
459593	462338	2746	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	I	OspJU_177_t
465535	467733	2199	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	I	OspJU_178_t
2253257	2255175	1919	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	I	OspJU_682_t
4622080	4623044	965	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	I	OspJU_1518_t
4623184	4624705	1522	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	I	OspJU_1519_t
