assembly	telotig	telotig_length	mdn_cov	perc_mdn_cov	telo_clip_map_pos	chrom	mapd_with_telo_on_side	telo_start	telo_end	telo_length	non_telo_length	rRNA_start	rRNA_end	rRNA_strand
nxOscDolc1.1	ptg000004l	20036	14.44	47.5	11141772	I	R	18515	20036	1519	18517	NA	NA	NA
nxOscDolc1.1	ptg000033l	21948	17.38	57.17	233890	IV	L	20466	21948	1480	20468	NA	NA	NA
nxOscDolc1.1	ptg000002l	18315	22.58	74.28	5184372	IV	R	16837	18315	1478	16837	NA	NA	NA
nxOscDolc1.1	ptg000041l	19363	18.82	61.91	240737	I	L	17896	19363	1467	17896	NA	NA	NA
nxOscDolc1.1	ptg000006l	18172	15.16	49.87	6684101	X	L	0	1447	1447	16725	NA	NA	NA
nxOscDolc1.1	ptg000019l	18698	23.22	76.38	44875	X	L	17280	18698	1418	17280	NA	NA	NA
nxOscDolc1.1	ptg000021l	17911	28.14	92.57	12574656	X	R	16483	17890	1407	16504	NA	NA	NA
nxOscDolc1.1	ptg000010l	17973	26.17	86.09	6471566	V	L	16654	17973	1319	16654	NA	NA	NA
nxOscDolc1.1	ptg000028l	20042	13.24	43.55	3889445	X	L	0	1260	1260	18782	NA	NA	NA
nxOscDolc1.1	ptg000014l	16761	10.98	36.12	66942	II	L	15503	16761	1258	15503	NA	NA	NA
nxOscDolc1.1	ptg000009l	21864	22.63	74.44	5184373	IV	L	20610	21864	1254	20610	NA	NA	NA
nxOscDolc1.1	ptg000017l	16442	11.39	37.47	3852350	X	L	0	1255	1254	15188	NA	NA	NA
nxOscDolc1.1	ptg000039l	18337	17.62	57.96	91404	III	L	0	1251	1250	17087	NA	NA	NA
nxOscDolc1.1	ptg000018l	18875	23.26	76.51	6413004	II	R	17635	18875	1240	17635	NA	NA	NA
nxOscDolc1.1	ptg000011l	16951	11.63	38.26	10758308	III	R	15735	16951	1215	15736	NA	NA	NA
nxOscDolc1.1	ptg000003l	16910	25.06	82.43	6427035	II	L	0	1208	1208	15702	NA	NA	NA
nxOscDolc1.1	ptg000012l	19655	24.13	79.38	4662007	III	L	18448	19655	1207	18448	NA	NA	NA
nxOscDolc1.1	ptg000016l	19543	23.36	76.84	4635267	III	R	18405	19541	1136	18407	NA	NA	NA
nxOscDolc1.1	ptg000008l	16010	18.98	62.43	3801810	X	R	1	999	998	15012	NA	NA	NA
nxOscOnir1.2	ptg000008l	22400	0.45	0.48	NA	NA	NA	0	22273	22273	127	NA	NA	NA
nxOscOnir1.2	ptg000014l	44096	29.38	31.43	701915	II	R	27742	44096	16354	27742	172	20638	plus
nxOscOnir1.2	ptg000015l	25197	4.85	5.19	NA	NA	NA	10859	25197	14338	10859	NA	NA	NA
nxOscOnir1.2	ptg000022l	25665	4.39	4.7	484	I	L	11375	25665	14290	11375	NA	NA	NA
nxOscOnir1.2	ptg000006l	24969	4.63	4.95	1	V	L	11453	24969	13516	11453	NA	NA	NA
nxOscOnir1.2	ptg000013l	19809	3.97	4.25	10624783	III	R	6373	19809	13436	6373	NA	NA	NA
nxOscOnir1.2	ptg000002l	25130	4.94	5.29	1	IV	L	13133	25130	11997	13133	NA	NA	NA
nxOscOnir1.2	ptg000010l	23855	4.78	5.11	10440940	II	R	0	11949	11949	11906	NA	NA	NA
nxOscOnir1.2	ptg000016l	10770	0.94	1.01	NA	NA	NA	0	10559	10559	211	NA	NA	NA
nxOscOnir1.2	ptg000021l	22211	2.3	2.46	9758719	I	R	12305	22211	9906	12305	NA	NA	NA
nxOscOnir1.2	ptg000024l	10499	37.01	39.6	NA	NA	NA	757	10499	9736	763	NA	NA	NA
nxOscOnir1.2	ptg000020l	20040	9.58	10.25	10624783	III	R	0	8248	8247	11793	NA	NA	NA
nxOscOnir1.2	ptg000018l	20228	3.5	3.74	13354745	IV	R	0	7700	7697	12531	NA	NA	NA
nxOscOnir1.2	ptg000017l	23119	93.47	100	9840992	V	R	21091	23119	2017	21102	NA	NA	NA
nxOscOnir1.2	ptg000005l	26637	54.2	57.99	81	I	L	24915	26637	1720	24917	NA	NA	NA
nxOscOnir1.2	ptg000001l	27112	45.93	49.14	1344	V	L	25381	27112	1718	25394	NA	NA	NA
nxOscOnir1.2	ptg000023l	37245	51.7	55.31	5948	X	L	0	1522	1510	35735	1643	5151	plus
nxOscOnir1.2	ptg000004l	22062	73.27	78.39	9757431	I	R	0	1462	1461	20601	NA	NA	NA
nxOscOnir1.2	ptg000019l	30519	60.22	64.43	13341663	IV	R	29173	30519	1345	29174	NA	NA	NA
nxOscOnir1.2	ptg000011l	27385	73.97	79.14	11743800	X	R	26088	27385	1297	26088	NA	NA	NA
nxOscOnir1.2	ptg000012l	24384	84.02	89.89	4092	IV	L	23125	24372	1247	23137	NA	NA	NA
nxOscOnir1.2	ptg000009l	25351	65.9	70.5	10439112	II	R	24176	25351	1173	24178	NA	NA	NA
nxOscOnir1.2	ptg000007l	27237	68.13	72.89	10449375	III	R	26113	27237	1124	26113	NA	NA	NA
nxOscOnir1.2	ptg000003l	29556	64.02	68.49	976	III	L	28487	29556	1068	28488	NA	NA	NA
nxOscSper1.1	ptg000003l	21291	24.54	57.77	8172954	II	R	19435	21291	1855	19436	374	16201	plus
nxOscSper1.1	ptg000014l	21098	6.17	14.52	9239004	X	R	0	1680	1677	19421	NA	NA	NA
nxOscSper1.1	ptg000018l	20379	4.1	9.65	7104591	III	R	0	1373	1373	19006	NA	NA	NA
nxOscSper1.1	ptg000005l	23459	37.62	88.56	2434254	X	L	22125	23459	1326	22133	NA	NA	NA
nxOscSper1.1	ptg000013l	16575	6.52	15.35	8376440	IV	R	1	1307	1305	15270	NA	NA	NA
nxOscSper1.1	ptg000002l	22913	31.79	74.84	2337534	X	R	4	1299	1291	21622	NA	NA	NA
nxOscSper1.1	ptg000001l	23582	38.66	91.01	8349528	IV	R	6	1253	1244	22338	NA	NA	NA
nxOscSper1.1	ptg000017l	19784	6.47	15.23	7792813	I	R	17	1259	1238	18546	NA	NA	NA
nxOscSper1.1	ptg000021l	25183	26.03	61.28	7052313	III	R	23970	25183	1205	23978	NA	NA	NA
nxOscSper1.1	ptg000027l	26270	32.35	76.15	9216275	X	R	25058	26264	1200	25070	NA	NA	NA
nxOscSper1.1	ptg000015l	23873	9.11	21.45	1	V	L	0	1201	1198	22675	NA	NA	NA
nxOscSper1.1	ptg000006l	23478	38.3	90.16	187503	II	L	0	1157	1157	22321	NA	NA	NA
nxOscSper1.1	ptg000010l	22094	26.64	62.71	4766409	X	R	0	1143	1143	20951	NA	NA	NA
nxOscSper1.1	ptg000007l	21719	30.97	72.9	142252	X	L	20595	21719	1124	20595	NA	NA	NA
nxOscSper1.1	ptg000025l	19391	4.83	11.37	9242543	X	R	18270	19391	1120	18271	NA	NA	NA
nxOscSper1.1	ptg000011l	21361	34.44	81.07	6988866	V	R	0	1107	1103	20258	NA	NA	NA
nxOscSper1.1	ptg000023l	22369	33.97	79.97	4778739	X	L	21340	22369	1029	21340	NA	NA	NA
nxOscSper1.1	ptg000024l	19730	7.98	18.79	12806	II	R	0	1013	1011	18719	NA	NA	NA
nxOscSper1.1	ptg000008l	22228	29.86	70.29	61998	III	L	5	1010	1004	21224	NA	NA	NA
nxOscSper1.1	ptg000004l	20395	30.65	72.15	37486	I	L	19390	20395	1003	19392	NA	NA	NA
nxOscSper1.1	ptg000020l	23628	36.72	86.44	73741	IV	L	20	1018	996	22632	NA	NA	NA
nxOscSper1.1	ptg000022l	18316	42.48	100	38134	V	L	17362	18316	954	17362	NA	NA	NA
nxOscSper1.1	ptg000016l	22308	8.21	19.33	2964	X	L	0	944	942	21366	NA	NA	NA
nxOscSper1.1	ptg000019l	17216	7.17	16.88	18599	II	R	1	926	925	16291	NA	NA	NA
nxOscSper1.1	ptg000026l	11716	4.3	10.12	1582	IV	L	10795	11716	921	10795	NA	NA	NA
nxOscSper1.1	ptg000012l	22988	41.13	96.82	7780967	I	R	22224	22988	764	22224	NA	NA	NA
nxOscSper1.1	ptg000009l	17868	5.15	12.12	7007620	V	R	17172	17861	686	17182	NA	NA	NA
nxOscSpeu1.1	ptg000004l	22690	48.12	78.99	10222753	II	R	21516	22690	1171	21519	NA	NA	NA
nxOscSpeu1.1	ptg000029l	23103	4.71	7.73	9521662	III	R	21775	22918	1143	21960	NA	NA	NA
nxOscSpeu1.1	ptg000037l	23430	3.59	5.89	9521662	III	R	0	1114	1099	22331	NA	NA	NA
nxOscSpeu1.1	ptg000009l	23572	53.06	87.1	6339633	X	R	22498	23556	1058	22514	NA	NA	NA
nxOscSpeu1.1	ptg000021l	13127	2.64	4.33	15478	V	L	12085	13127	1042	12085	NA	NA	NA
nxOscSpeu1.1	ptg000031l	23054	52.89	86.82	4685181	V	R	1	1023	1021	22033	NA	NA	NA
nxOscSpeu1.1	ptg000026l	25464	39.2	64.35	89533	V	L	24465	25464	999	24465	NA	NA	NA
nxOscSpeu1.1	ptg000028l	26094	55.34	90.84	3078	X	L	25122	26094	972	25122	NA	NA	NA
nxOscSpeu1.1	ptg000023l	21298	48.93	80.32	4685570	V	L	20332	21298	964	20334	NA	NA	NA
nxOscSpeu1.1	ptg000022l	27501	46.8	76.82	9264411	X	R	26540	27501	961	26540	NA	NA	NA
nxOscSpeu1.1	ptg000010l	23098	45.61	74.87	6701996	IV	L	1	957	956	22142	NA	NA	NA
nxOscSpeu1.1	ptg000016l	21132	55.85	91.68	5067	IV	L	0	948	946	20186	NA	NA	NA
nxOscSpeu1.1	ptg000006l	22946	48.03	78.84	6341932	X	L	22014	22946	932	22014	NA	NA	NA
nxOscSpeu1.1	ptg000015l	29538	34.65	56.88	7323673	II	R	28607	29538	930	28608	NA	NA	NA
nxOscSpeu1.1	ptg000001l	24745	51.92	85.23	1325005	X	R	23816	24745	929	23816	NA	NA	NA
nxOscSpeu1.1	ptg000034l	22535	57.41	94.24	7392426	II	L	0	916	915	21620	NA	NA	NA
nxOscSpeu1.1	ptg000002l	24802	53.31	87.51	9498668	III	R	23887	24802	914	23888	NA	NA	NA
nxOscSpeu1.1	ptg000019l	23724	54.93	90.17	2982874	I	R	0	906	905	22819	NA	NA	NA
nxOscSpeu1.1	ptg000030l	26386	47.47	77.92	6701995	IV	R	0	901	901	25485	NA	NA	NA
nxOscSpeu1.1	ptg000035l	23865	46.3	76	1	I	L	22974	23865	891	22974	NA	NA	NA
nxOscSpeu1.1	ptg000011l	24564	41.26	67.73	2573831	IV	R	23668	24555	887	23677	NA	NA	NA
nxOscSpeu1.1	ptg000025l	25293	48.08	78.92	10859129	V	R	24415	25293	877	24416	NA	NA	NA
nxOscSpeu1.1	ptg000012l	23188	47.95	78.71	3019287	I	L	22320	23187	866	22322	NA	NA	NA
nxOscSpeu1.1	ptg000005l	22424	51.91	85.21	5644109	III	L	9	860	851	21573	NA	NA	NA
nxOscSpeu1.1	ptg000008l	25410	41.02	67.33	7669427	X	R	24561	25410	849	24561	NA	NA	NA
nxOscSpeu1.1	ptg000027l	25365	33.16	54.43	12145074	X	R	0	823	823	24542	NA	NA	NA
nxOscSpeu1.1	ptg000032l	12526	2.08	3.41	6942	II	R	11712	12526	814	11712	NA	NA	NA
nxOscSpeu1.1	ptg000032l	12526	2.08	3.41	1485	II	L	11712	12526	814	11712	NA	NA	NA
nxOscSpeu1.1	ptg000014l	23523	60.92	100	7673380	X	L	22717	23523	806	22717	NA	NA	NA
nxOscSpeu1.1	ptg000033l	24612	44.45	72.96	5644107	III	R	0	799	798	23814	NA	NA	NA
nxOscSpeu1.1	ptg000017l	25327	42.02	68.98	9677810	IV	R	0	775	775	24552	NA	NA	NA
nxOscSpeu1.1	ptg000007l	24525	38.01	62.39	9747643	I	R	23762	24525	763	23762	NA	NA	NA
nxOscSpeu1.1	ptg000024l	22422	49.77	81.7	20402	II	L	0	751	751	21671	NA	NA	NA
nxOscSpeu1.1	ptg000003l	23624	42.89	70.4	2621654	IV	L	0	725	723	22901	NA	NA	NA
nxOscSpeu1.1	ptg000018l	23132	43.1	70.75	5335	III	L	20	727	707	22425	NA	NA	NA
nxOscSpeu1.1	ptg000013l	22210	48.35	79.37	9264669	X	L	21504	22205	701	21509	NA	NA	NA
nxOscSpeu1.1	ptg000020l	15078	2.12	3.48	9074734	II	L	1	558	550	14528	5448	14585	plus
nxOscSpeu1.1	ptg000036l	22276	1.89	3.1	9521662	III	R	0	297	297	21979	NA	NA	NA
nxOscSpeu1.1	ptg000036l	22276	1.89	3.1	9510287	III	L	0	297	297	21979	NA	NA	NA
