Orthogroup	caenorhabditis_elegans.PRJNA13758	nxOscDolc1.1	nxOscOnir1.2	nxOscSper1.1	nxOscSpeu1.1	nxOscTipu1.1
OG0015139	C50F4.6.1					
OG0015140	Y49E10.6b.1					
OG0015141	ZK682.4.1					
OG0015142	C28C12.8.1					
OG0015143	F57C9.5.1					
OG0015144	C27A2.3.1					
OG0015145	T08G5.12.1					
OG0015146	C17C3.18.1					
OG0015147	F41G3.16.1					
OG0015148	T28B8.2.1					
OG0015149	Y8A9A.6.1					
OG0015150	F52B11.6.1					
OG0015151	F08G12.10.1					
OG0015152	F35C8.3.2					
OG0015153	F58D5.4a.1					
OG0015154	F52H3.7a.2					
OG0015155	W01A11.4.1					
OG0015156	F18A1.3b.1					
OG0015157	T22A3.3a.1					
OG0015158	Y22F5A.6.1					
OG0015159	C54C8.6.1					
OG0015160	K10B3.9.2					
OG0015161	F54C1.3a.2					
OG0015162	F13G3.9.1					
OG0015163	Y73B6BL.13.1					
OG0015164	Y110A7A.5.1					
OG0015165	B0379.3a.1					
OG0015166	K01H12.3a.1					
OG0015167	T05B4.2.1					
OG0015168	T24D8.3.1					
OG0015169	F35B12.7.1					
OG0015170	Y43F8C.1.1					
OG0015171	Y43F8C.2.1					
OG0015172	F30H5.2.1					
OG0015173	T19C4.7.1					
OG0015174	B0280.4.1					
OG0015175	T05D4.4a.1					
OG0015176	T20H4.1a.1					
OG0015177	T28H11.4a.1					
OG0015178	F14B8.3.1					
OG0015179	Y49E10.14a.1					
OG0015180	F44E2.11.1					
OG0015181	E02H1.4.2					
OG0015182	C05B5.3.1					
OG0015183	C09E7.2.1					
OG0015184	C34E7.1a.2					
OG0015185	F53A3.4b.1					
OG0015186	T06E4.11.1					
OG0015187	T13H2.4c.1					
OG0015188	W01B11.5d.1					
OG0015189	W03D2.1c.1					
OG0015190	Y39A3CR.7.1					
OG0015191	Y71G12B.21.1					
OG0015192	ZC15.8.1					
OG0015193	C30G12.7.1					
OG0015194	C08F8.7.1					
OG0015195	K07A1.11.1					
OG0015196	F21C3.4a.1					
OG0015197	Y18H1A.7a.1					
OG0015198	K08D10.3a.1					
OG0015199	B0513.3a.1					
OG0015200	C09H10.1.1					
OG0015201	B0412.4.1					
OG0015202	F10E9.8.1					
OG0015203	F10G7.4.1					
OG0015204	F19B10.9.1					
OG0015205	K10G6.3g.1					
OG0015206	C32A3.1a.1					
OG0015207	Y73B6BL.5d.1					
OG0015208	ZK520.2.1					
OG0015209	F47H4.10.1					
OG0015210	Y37H2C.2.1					
OG0015211	R12H7.3.1					
OG0015212	R12H7.5.1					
OG0015213	K08H2.1.1					
OG0015214	F23H12.1.1					
OG0015215	F48C1.7.1					
OG0015216	T02E1.1.1					
OG0015217	C06E7.6.1					
OG0015218	F25H8.7.1					
OG0015219	T05E11.4a.1					
OG0015220	T25D10.3b.1					
OG0015221	F32D8.9.1					
OG0015222	T09D3.1.1					
OG0015223	T27A1.1.1					
OG0015224	C44B12.8.1					
OG0015225	ZC513.12.1					
OG0015226	F26D2.2.1					
OG0015227	C24G6.1.1					
OG0015228	F39H2.4.2					
OG0015229	T23D8.9a.1					
OG0015230	F54F7.1.1					
OG0015231	F43D9.5.1					
OG0015232	ZK337.4.1					
OG0015233	C09G9.4.1					
OG0015234	F28F8.6.3					
OG0015235	F44A2.1b.3					
OG0015236	T04H1.9.2					
OG0015237	Y66A7A.8.1					
OG0015238	Y47D3A.10.1					
OG0015239	ZK177.10.1					
OG0015240	ZK829.5.1					
OG0015241	T26C11.1a.1					
OG0015242	F42E11.4.1					
OG0015243	F59G1.2.1					
OG0015244	Y110A2AR.2f.1					
OG0015245	C06E2.7.1					
OG0015246	F56D2.4.1					
OG0015247	F26H9.7a.1					
OG0015248	C18A11.5c.1					
OG0015249	F59B2.6.1					
OG0015250	T18H9.6.1					
OG0015251	B0001.6.2					
OG0015252	B0001.7b.1					
OG0015253	B0250.7b.1					
OG0015254	B0250.8.1					
OG0015255	B0284.3.1					
OG0015256	B0285.3.1					
OG0015257	B0334.13.1					
OG0015258	B0379.6.1					
OG0015259	B0491.6b.1					
OG0015260	BE10.4.1					
OG0015261	C01A2.1a.1					
OG0015262	C01A2.6.1					
OG0015263	C01F6.2.1					
OG0015264	C01G10.4.1					
OG0015265	C01G10.5.1					
OG0015266	C01G10.6.1					
OG0015267	C01G10.15.1					
OG0015268	C01G10.16.3					
OG0015269	C01G12.7.1					
OG0015270	C01H6.8a.1					
OG0015271	C02B4.3.1					
OG0015272	C02F4.5.1					
OG0015273	C03C10.5.1					
OG0015274	C03D6.1.1					
OG0015275	C03D6.6.1					
OG0015276	C04A11.5.2					
OG0015277	C04B4.5.1					
OG0015278	C04B4.6a.1					
OG0015279	C04H4.1.1					
OG0015280	C05B5.1.1					
OG0015281	C05C9.3.1					
OG0015282	C05C12.5.1					
OG0015283	C05E7.1.1					
OG0015284	C05G5.2a.1					
OG0015285	C06C3.7.1					
OG0015286	C06H2.7b.1					
OG0015287	C07A9.8.1					
OG0015288	C07A9.9.1					
OG0015289	C07B5.2.1					
OG0015290	C07B5.3.1					
OG0015291	C07B5.6.1					
OG0015292	C07C7.1.1					
OG0015293	C07E3.3b.1					
OG0015294	C07E3.5.3					
OG0015295	C07E3.10.1					
OG0015296	C08B6.6.1					
OG0015297	C08B6.10.1					
OG0015298	C08F8.3b.1					
OG0015299	C08F8.4b.1					
OG0015300	C08F8.9.1					
OG0015301	C08H9.1.1					
OG0015302	C09H10.10a.1					
OG0015303	C10C5.7.1					
OG0015304	C11E4.7a.1					
OG0015305	C12D8.13b.1					
OG0015306	C14A6.3.1					
OG0015307	C14B1.6a.1					
OG0015308	C14B1.9.1					
OG0015309	C14C10.1.1					
OG0015310	C14C10.2a.1					
OG0015311	C15C6.3.1					
OG0015312	C15C8.7.1					
OG0015313	C15H11.5.2					
OG0015314	C15H11.11a.1					
OG0015315	C16C10.9.1					
OG0015316	C17D12.5.1					
OG0015317	C17E4.2.1					
OG0015318	C17E4.4.1					
OG0015319	C17E4.10a.1					
OG0015320	C17H1.2.1					
OG0015321	C25A1.6.1					
OG0015322	C25A1.9a.1					
OG0015323	C25A1.15.1					
OG0015324	C25D7.9.1					
OG0015325	C25D7.10.1					
OG0015326	C26C6.6.1					
OG0015327	C26E1.1.1					
OG0015328	C26E1.2a.1					
OG0015329	C26E1.3.1					
OG0015330	C27B7.6.1					
OG0015331	C28D4.10a.1					
OG0015332	C29F4.3.1					
OG0015333	C30F2.4.2					
OG0015334	C30H6.10.1					
OG0015335	C31C9.7.1					
OG0015336	C31G12.3.1					
OG0015337	C31G12.4b.1					
OG0015338	C31H5.4.1					
OG0015339	C32A9.1.1					
OG0015340	C32C4.3c.1					
OG0015341	C33A12.19a.1					
OG0015342	C33B4.5.1					
OG0015343	C33D3.3.1					
OG0015344	C33D3.4.1					
OG0015345	C33D3.5.1					
OG0015346	C33D9.3a.1					
OG0015347	C33D9.6a.2					
OG0015348	C33G3.6.2					
OG0015349	C34C6.7a.1					
OG0015350	C34C12.2.1					
OG0015351	C34C12.7.1					
OG0015352	C34C12.9.1					
OG0015353	C34D1.4a.1					
OG0015354	C34D1.5a.1					
OG0015355	C34E11.4.1					
OG0015356	C34F6.5a.1					
OG0015357	C35C5.2.1					
OG0015358	C35C5.9.2					
OG0015359	C36A4.10.7					
OG0015360	C38C10.3.1					
OG0015361	C38D4.7.1					
OG0015362	C39B10.3.1					
OG0015363	C39B10.4.1					
OG0015364	C39B10.5.1					
OG0015365	C40C9.4a.1					
OG0015366	C41C4.3.1					
OG0015367	C41C4.9.1					
OG0015368	C43F9.7.1					
OG0015369	C44B9.3.1					
OG0015370	C44H4.6.1					
OG0015371	C44H9.7b.1					
OG0015372	C46F11.3.1					
OG0015373	C47E12.12.1					
OG0015374	C47E12.13a.1					
OG0015375	C48B4.8a.1					
OG0015376	C48B4.11.1					
OG0015377	C48D1.5c.1					
OG0015378	C49C3.8a.1					
OG0015379	C49C3.15.1					
OG0015380	C49F8.1.1					
OG0015381	C49G9.1.1					
OG0015382	C50B6.1.1					
OG0015383	C50B6.3b.1					
OG0015384	C50F4.10.1					
OG0015385	C50H2.6.1					
OG0015386	C51E3.10a.1					
OG0015387	C53C7.3.1					
OG0015388	C54C6.5.1					
OG0015389	C54E10.6.1					
OG0015390	C54G10.1.1					
OG0015391	C55A1.11.1					
OG0015392	D1025.1.1					
OG0015393	D1054.5.1					
OG0015394	D1054.10.1					
OG0015395	D1054.11.1					
OG0015396	D1081.6.2					
OG0015397	D1086.2a.1					
OG0015398	D2005.4.3					
OG0015399	D2030.7.1					
OG0015400	D2030.11.2					
OG0015401	D2085.7a.1					
OG0015402	D2089.3.1					
OG0015403	DY3.8.1					
OG0015404	E01B7.2.1					
OG0015405	E02A10.4.1					
OG0015406	E02H4.2a.1					
OG0015407	E02H4.5.1					
OG0015408	E04D5.5.1					
OG0015409	F01G10.4.1					
OG0015410	F02A9.1.1					
OG0015411	F02C12.3.1					
OG0015412	F02D10.2.1					
OG0015413	F02D10.3.1					
OG0015414	F02D10.7.1					
OG0015415	F07A5.2.1					
OG0015416	F07D3.3.1					
OG0015417	F07H5.6.1					
OG0015418	F07H5.13.1					
OG0015419	F08G2.4.1					
OG0015420	F08G2.5.1					
OG0015421	F08G5.2a.1					
OG0015422	F08G12.3.1					
OG0015423	F08H9.2.1					
OG0015424	F09A5.3a.1					
OG0015425	F09B9.4.1					
OG0015426	F09C6.3.1					
OG0015427	F10D11.2.1					
OG0015428	F10D11.3.1					
OG0015429	F11A5.13.1					
OG0015430	F11A6.2.1					
OG0015431	F11D11.4.1					
OG0015432	F11E6.9.1					
OG0015433	F11E6.10a.1					
OG0015434	F13A7.1.1					
OG0015435	F13B12.7.1					
OG0015436	F13D12.3.1					
OG0015437	F13E9.6.1					
OG0015438	F13E9.9a.1					
OG0015439	F13G3.12.1					
OG0015440	F13H10.1.1					
OG0015441	F14D7.2.1					
OG0015442	F14D7.3.1					
OG0015443	F14D7.8.1					
OG0015444	F14D7.11.1					
OG0015445	F14E5.5.1					
OG0015446	F14F8.8.1					
OG0015447	F14H3.6.1					
OG0015448	F15A4.5.1					
OG0015449	F15A4.9.1					
OG0015450	F15A4.10.1					
OG0015451	F15D3.5.1					
OG0015452	F15D4.6.1					
OG0015453	F15G9.6.1					
OG0015454	F17A2.13.1					
OG0015455	F17H10.4.1					
OG0015456	F18C12.4.1					
OG0015457	F19D8.2.1					
OG0015458	F19H6.5.1					
OG0015459	F19H6.6.1					
OG0015460	F20C5.3b.1					
OG0015461	F20C5.5.1					
OG0015462	F20C5.6.1					
OG0015463	F20C5.7.1					
OG0015464	F20G4.2.1					
OG0015465	F21A3.2.1					
OG0015466	F21A3.5.2					
OG0015467	F21C3.6.1					
OG0015468	F21G4.3.1					
OG0015469	F21H7.2.2					
OG0015470	F22B5.6.1					
OG0015471	F22D6.9.1					
OG0015472	F23B2.13a.1					
OG0015473	F23D12.2.1					
OG0015474	F23D12.4.1					
OG0015475	F23D12.7.1					
OG0015476	F23H12.5.1					
OG0015477	F23H12.8.1					
OG0015478	F23H12.9b.1					
OG0015479	F25B3.5a.1					
OG0015480	F25C8.4.1					
OG0015481	F25H2.3.1					
OG0015482	F25H5.2.1					
OG0015483	F26A3.5.1					
OG0015484	F26D10.12a.1					
OG0015485	F26H11.1.1					
OG0015486	F27D4.6b.1					
OG0015487	F28C6.10.1					
OG0015488	F28D1.2.1					
OG0015489	F28D1.6.1					
OG0015490	F28H7.4.1					
OG0015491	F29C6.1a.1					
OG0015492	F29C12.6.1					
OG0015493	F29D10.1.1					
OG0015494	F30A10.12.1					
OG0015495	F31B12.4.1					
OG0015496	F31F6.7.1					
OG0015497	F32A11.3.1					
OG0015498	F32B4.2.1					
OG0015499	F32D8.3.1					
OG0015500	F32G8.3.1					
OG0015501	F32H5.3a.1					
OG0015502	F33A8.7.1					
OG0015503	F33E2.7.1					
OG0015504	F34D10.3.1					
OG0015505	F34D10.8.1					
OG0015506	F34H10.3.1					
OG0015507	F34H10.4b.1					
OG0015508	F34H10.5.2					
OG0015509	F35B12.3.1					
OG0015510	F35B12.5a.1					
OG0015511	F35B12.9.1					
OG0015512	F35C5.3.1					
OG0015513	F35C12.3.1					
OG0015514	F35G2.3.1					
OG0015515	F35G2.5a.1					
OG0015516	F35G12.5a.2					
OG0015517	F35G12.11.1					
OG0015518	F35H8.1.1					
OG0015519	F36A2.10.1					
OG0015520	F36D1.5.1					
OG0015521	F36D1.7.1					
OG0015522	F36D1.9.1					
OG0015523	F36D3.1.1					
OG0015524	F36F2.2.1					
OG0015525	F37D6.3.1					
OG0015526	F38C2.8.1					
OG0015527	F40F8.4.1					
OG0015528	F40F9.3.1					
OG0015529	F40F11.3b.1					
OG0015530	F40G12.2.1					
OG0015531	F40G12.11.1					
OG0015532	F41E7.4.1					
OG0015533	F41E7.5.1					
OG0015534	F41E7.7b.1					
OG0015535	F41E7.8.1					
OG0015536	F42E8.1.1					
OG0015537	F42E11.3.1					
OG0015538	F43G9.8.2					
OG0015539	F44A6.3.1					
OG0015540	F44A6.4.1					
OG0015541	F44A6.5.2					
OG0015542	F44D12.6.1					
OG0015543	F44F4.3.1					
OG0015544	F44G4.6a.1					
OG0015545	F45D3.1.1					
OG0015546	F45E6.1.1					
OG0015547	F46A8.7.1					
OG0015548	F46B3.4a.1					
OG0015549	F46F2.3.1					
OG0015550	F47A4.5.1					
OG0015551	F47B10.3.1					
OG0015552	F47B10.4.1					
OG0015553	F47B10.6.1					
OG0015554	F48F7.3.1					
OG0015555	F48F7.6.1					
OG0015556	F49C5.5.1					
OG0015557	F49C12.7b.1					
OG0015558	F49C12.11.1					
OG0015559	F49C12.15.1					
OG0015560	F49E11.4.1					
OG0015561	F49E11.5.1					
OG0015562	F49E12.8.1					
OG0015563	F52B5.2.1					
OG0015564	F52B11.5.1					
OG0015565	F52D10.1.1					
OG0015566	F52E10.4b.1					
OG0015567	F52F12.5.1					
OG0015568	F53A2.2.1					
OG0015569	F53A2.9.1					
OG0015570	F53B2.8.1					
OG0015571	F53B6.8.1					
OG0015572	F53B6.9.1					
OG0015573	F53C11.4b.2					
OG0015574	F53F1.1.1					
OG0015575	F53F1.6b.1					
OG0015576	F53F4.1.1					
OG0015577	F53F4.2.1					
OG0015578	F53F8.6b.1					
OG0015579	F53H2.2.1					
OG0015580	F53H4.4.2					
OG0015581	F54B11.8.1					
OG0015582	F54B11.9.1					
OG0015583	F54C9.3.1					
OG0015584	F54C9.7.1					
OG0015585	F54D5.2.1					
OG0015586	F54D5.9.1					
OG0015587	F54F7.2.1					
OG0015588	F54F7.3.1					
OG0015589	F54F7.8.1					
OG0015590	F55A11.8a.1					
OG0015591	F55C9.5.5					
OG0015592	F55D12.6.1					
OG0015593	F55F3.2b.1					
OG0015594	F55F3.4a.1					
OG0015595	F55G7.1.1					
OG0015596	F55G7.3.1					
OG0015597	F55H12.2.1					
OG0015598	F56A8.8.1					
OG0015599	F56A12.2a.1					
OG0015600	F56C4.1.1					
OG0015601	F56C4.2.1					
OG0015602	F56H6.3.1					
OG0015603	F56H9.2a.1					
OG0015604	F57A8.8.1					
OG0015605	F57A10.4.1					
OG0015606	F57G12.1.1					
OG0015607	F58A4.2.1					
OG0015608	F58A4.5.1					
OG0015609	F58B3.9.1					
OG0015610	F58B4.6.2					
OG0015611	F58D5.5.1					
OG0015612	F58E6.7.1					
OG0015613	F58G1.2b.1					
OG0015614	F58G1.8.1					
OG0015615	F58H1.2.1					
OG0015616	F59A1.16.1					
OG0015617	F59B2.12.1					
OG0015618	F59B10.4a.1					
OG0015619	F59C6.2.1					
OG0015620	F59F5.4.1					
OG0015621	H03G16.5.1					
OG0015622	H04D03.2a.1					
OG0015623	H08J19.1.1					
OG0015624	H12D21.5.1					
OG0015625	H12D21.6.1					
OG0015626	H12D21.11.1					
OG0015627	H19N07.3a.1					
OG0015628	H37N21.1.1					
OG0015629	K01A6.4.1					
OG0015630	K01C8.8.1					
OG0015631	K01D12.5.1					
OG0015632	K01H12.4.1					
OG0015633	K02B12.2.1					
OG0015634	K02E2.6.3					
OG0015635	K03A11.1.1					
OG0015636	K03A11.2.2					
OG0015637	K03B8.8.2					
OG0015638	K03B8.11.1					
OG0015639	K03H1.7.1					
OG0015640	K03H1.9.3					
OG0015641	K03H1.12.1					
OG0015642	K04B12.2a.2					
OG0015643	K04C1.4.1					
OG0015644	K04D7.6.1					
OG0015645	K04G2.4.1					
OG0015646	K04G2.7a.1					
OG0015647	K04G2.10.1					
OG0015648	K04G11.1.1					
OG0015649	K04H4.5.2					
OG0015650	K04H8.3.1					
OG0015651	K05C4.10.1					
OG0015652	K06A4.6.1					
OG0015653	K06G5.3a.1					
OG0015654	K07A1.6.1					
OG0015655	K07A1.13.1					
OG0015656	K07A1.15.2					
OG0015657	K07A12.5b.1					
OG0015658	K07G5.5.1					
OG0015659	K08C7.4.1					
OG0015660	K08C7.6.1					
OG0015661	K08C7.7.1					
OG0015662	K08D8.2.1					
OG0015663	K08E3.3b.1					
OG0015664	K08F4.3.1					
OG0015665	K08F4.12.1					
OG0015666	K09B11.4.1					
OG0015667	K09C8.2.1					
OG0015668	K09C8.8.1					
OG0015669	K09E4.6.1					
OG0015670	K09E9.3b.1					
OG0015671	K10C8.4.1					
OG0015672	K10D3.6.1					
OG0015673	K10D6.3a.1					
OG0015674	K10H10.7.1					
OG0015675	K11E4.3.1					
OG0015676	K11H3.2.1					
OG0015677	K11H3.5a.1					
OG0015678	K11H3.6.1					
OG0015679	K12D12.4.1					
OG0015680	K12D12.5.1					
OG0015681	M01G12.6.1					
OG0015682	M03B6.1.1					
OG0015683	M03B6.4.1					
OG0015684	M03B6.5.1					
OG0015685	M03C11.3b.1					
OG0015686	M04D8.4.1					
OG0015687	M04D8.5.1					
OG0015688	M04D8.6.1					
OG0015689	M04D8.8.1					
OG0015690	M05B5.3b.1					
OG0015691	M106.2.1					
OG0015692	M106.3a.2					
OG0015693	M117.1a.1					
OG0015694	M117.3.1					
OG0015695	M163.1.1					
OG0015696	M163.5.1					
OG0015697	M163.7.1					
OG0015698	M176.10a.1					
OG0015699	M176.11.1					
OG0015700	MTCE.3.1					
OG0015701	MTCE.4.1					
OG0015702	MTCE.11.1					
OG0015703	MTCE.12.1					
OG0015704	MTCE.16.1					
OG0015705	MTCE.23.1					
OG0015706	MTCE.25.1					
OG0015707	MTCE.26.1					
OG0015708	MTCE.31.1					
OG0015709	MTCE.34.1					
OG0015710	MTCE.35.1					
OG0015711	R01H10.5.1					
OG0015712	R02D5.1.1					
OG0015713	R02D5.4.1					
OG0015714	R03E1.4a.1					
OG0015715	R04B5.1.1					
OG0015716	R04B5.7.1					
OG0015717	R04B5.11.1					
OG0015718	R04D3.4.1					
OG0015719	R05A10.2.1					
OG0015720	R05A10.3.1					
OG0015721	R06B9.5.1					
OG0015722	R06C1.6.1					
OG0015723	R06C7.9a.1					
OG0015724	R06F6.6.1					
OG0015725	R06F6.7.1					
OG0015726	R06F6.11.1					
OG0015727	R07A4.3.2					
OG0015728	R07B7.2c.1					
OG0015729	R07E3.2.1					
OG0015730	R07E5.5.1					
OG0015731	R07E5.11.1					
OG0015732	R07H5.4.1					
OG0015733	R07H5.10b.1					
OG0015734	R08D7.4a.2					
OG0015735	R09E10.1.2					
OG0015736	R09E10.2.1					
OG0015737	R09H10.7.1					
OG0015738	R10E4.1.2					
OG0015739	R10E4.3.1					
OG0015740	R10E4.7.1					
OG0015741	R11.3.1					
OG0015742	R11A5.3.1					
OG0015743	R11A5.6.1					
OG0015744	R11A8.1a.1					
OG0015745	R11D1.7.1					
OG0015746	R11H6.4a.1					
OG0015747	R53.8.1					
OG0015748	R74.5a.1					
OG0015749	R102.5b.1					
OG0015750	R102.6.3					
OG0015751	T01H3.5.1					
OG0015752	T01H10.8.1					
OG0015753	T02E1.2.2					
OG0015754	T02E1.3b.1					
OG0015755	T02E1.7.1					
OG0015756	T02G6.3.1					
OG0015757	T02G6.4.1					
OG0015758	T04A8.8.1					
OG0015759	T04A8.13.1					
OG0015760	T04C12.3.1					
OG0015761	T04C12.8.1					
OG0015762	T04D3.5.2					
OG0015763	T04D3.8.1					
OG0015764	T04F8.3.1					
OG0015765	T04F8.8.1					
OG0015766	T04F8.9.1					
OG0015767	T05B9.1.1					
OG0015768	T05C12.5.2					
OG0015769	T05C12.9.1					
OG0015770	T05D4.5.1					
OG0015771	T05F1.2.1					
OG0015772	T05F1.4.1					
OG0015773	T05G5.4.1					
OG0015774	T05G5.7a.1					
OG0015775	T06E4.10.1					
OG0015776	T06E8.2.1					
OG0015777	T06G6.3a.1					
OG0015778	T06G6.4.1					
OG0015779	T07A5.5.1					
OG0015780	T08D2.6.1					
OG0015781	T08D10.3.1					
OG0015782	T09F3.4.1					
OG0015783	T09F5.2.1					
OG0015784	T10B10.9.1					
OG0015785	T11B7.1.1					
OG0015786	T11B7.2a.1					
OG0015787	T12A7.3.1					
OG0015788	T12A7.4d.1					
OG0015789	T12D8.2.1					
OG0015790	T12D8.5a.2					
OG0015791	T12G3.6b.1					
OG0015792	T13F2.4.1					
OG0015793	T13F2.6.1					
OG0015794	T13F3.7.1					
OG0015795	T13H10.2.1					
OG0015796	T14B1.1.3					
OG0015797	T14G8.2.1					
OG0015798	T14G8.4.1					
OG0015799	T15H9.2.1					
OG0015800	T16G12.4.1					
OG0015801	T16G12.8.1					
OG0015802	T16H12.3a.1					
OG0015803	T16H12.11.2					
OG0015804	T18D3.6.1					
OG0015805	T20B3.14.1					
OG0015806	T20G5.14.1					
OG0015807	T21B6.5.1					
OG0015808	T21C9.9.1					
OG0015809	T21C12.4b.1					
OG0015810	T21E8.4.1					
OG0015811	T21E8.5.1					
OG0015812	T22A3.6.1					
OG0015813	T22C1.2.1					
OG0015814	T22C1.5.1					
OG0015815	T22C1.11.1					
OG0015816	T22C1.12.1					
OG0015817	T22H2.4.1					
OG0015818	T23F11.6.1					
OG0015819	T23G11.1.1					
OG0015820	T23G11.10.1					
OG0015821	T24A11.2.1					
OG0015822	T24B8.3a.1					
OG0015823	T24B8.7b.1					
OG0015824	T24C2.3.1					
OG0015825	T24C2.5.2					
OG0015826	T24D5.2.1					
OG0015827	T24F1.5.1					
OG0015828	T24F1.7.1					
OG0015829	T26E3.7.2					
OG0015830	T26E3.10.1					
OG0015831	T26E4.2.1					
OG0015832	T26G10.3.1					
OG0015833	T26G10.5.1					
OG0015834	T27A8.2.1					
OG0015835	T27E9.5.1					
OG0015836	T27E9.6.1					
OG0015837	T27F6.4.1					
OG0015838	T28B8.1.1					
OG0015839	T28C6.1f.1					
OG0015840	T28C6.8.2					
OG0015841	T28H10.2.1					
OG0015842	T28H10.4.1					
OG0015843	VK10D6R.1.1					
OG0015844	VW02B12L.4.1					
OG0015845	VZK822L.2.1					
OG0015846	W01C9.2.1					
OG0015847	W01D2.6.1					
OG0015848	W02D9.3.1					
OG0015849	W02D9.6.1					
OG0015850	W02D9.7.1					
OG0015851	W02D9.8.1					
OG0015852	W02D9.9.1					
OG0015853	W02H3.1a.1					
OG0015854	W03C9.1.1					
OG0015855	W03C9.5.1					
OG0015856	W03C9.8.1					
OG0015857	W03G11.2.1					
OG0015858	W03G11.4.4					
OG0015859	W04A4.2.1					
OG0015860	W04A4.6.1					
OG0015861	W04A8.2.1					
OG0015862	W04E12.3.1					
OG0015863	W04E12.9.1					
OG0015864	W05E10.1.1					
OG0015865	W05E10.2.1					
OG0015866	W05H5.3.1					
OG0015867	W06D11.1.1					
OG0015868	W06D11.3.1					
OG0015869	W06G6.2.1					
OG0015870	W06G6.10.1					
OG0015871	W06H12.1.1					
OG0015872	W07G1.7.1					
OG0015873	W07G4.1.1					
OG0015874	W08G11.3c.1					
OG0015875	W09H1.4.2					
OG0015876	Y6B3B.1.1					
OG0015877	Y7A5A.2.1					
OG0015878	Y7A5A.5.1					
OG0015879	Y7A5A.6.1					
OG0015880	Y7A5A.7.1					
OG0015881	Y7A5A.8.1					
OG0015882	Y7A5A.9.1					
OG0015883	Y7A9A.1.1					
OG0015884	Y11D7A.5.1					
OG0015885	Y11D7A.7.1					
OG0015886	Y17D7B.4.1					
